Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Aidan Meola,Oklahoma State,SR,3B,0.32,0.424,0.644,1.069,50,231,194,48,62,10,1,17,69,16,20,65,0,0
Joey Urban,Southern Miss,SR,CF,0.32,0.426,0.574,1,61,294,244,70,78,11,3,15,55,8,38,41,6,1
Brooks Leonard,Northwestern State,JR,RF,0.32,0.431,0.387,0.817,45,217,181,36,58,6,3,0,19,16,19,20,24,4
Chris McHugh,NC State,JR,1B,0.32,0.409,0.525,0.934,56,257,219,41,70,16,1,9,50,10,25,43,4,2
Kyle Langley,James Madison,JR,LF,0.32,0.409,0.452,0.86,53,240,197,40,63,7,2,5,36,6,25,36,14,2
Roch Cholowsky,UCLA,JR,SS,0.32,0.45,0.636,1.086,60,298,231,73,74,10,0,21,60,25,35,36,1,0
Andrew Hunt,UAB,JR,RF,0.32,0.453,0.5,0.953,55,247,194,51,62,14,0,7,46,9,41,37,11,5
Robert Tate Jr.,Jackson State,JR,3B,0.32,0.372,0.439,0.81,53,263,228,54,73,6,3,5,40,3,18,43,13,2
Cade Baldridge,Kansas,JR,2B,0.32,0.408,0.458,0.866,60,293,253,47,81,14,0,7,43,13,25,55,6,1
Cooper Clapp,Middle Tennessee,JR,2B,0.32,0.417,0.558,0.975,56,242,197,42,63,9,1,12,34,1,34,37,7,4
Sam Flores,Purdue,SR,3B,0.32,0.415,0.551,0.966,57,265,225,49,72,17,1,11,54,11,27,42,10,1
Lazaro Alvarado,Arkansas-Pine Bluff,JR,1B,0.32,0.413,0.367,0.78,48,202,169,32,54,5,0,1,27,5,22,17,0,0
Jett Kenady,California,FR,SS,0.32,0.35,0.573,0.923,51,220,206,36,66,17,1,11,34,1,10,46,1,0
Ben North,Creighton,GR,SS,0.319,0.442,0.556,0.997,57,267,216,51,69,14,2,11,44,13,35,61,26,3
Ty Johnsen,Utah Tech,SR,C,0.319,0.463,0.428,0.89,53,223,166,42,53,9,0,3,35,14,32,40,4,0
Avery Thielman,Western Michigan,SR,1B,0.319,0.369,0.5,0.869,49,207,182,28,58,13,1,6,42,4,14,30,2,2
Michael Maggio,Albany,JR,LF,0.319,0.402,0.361,0.764,43,192,166,33,53,5,1,0,19,0,23,15,19,3
Will Furniss,Ole Miss,SR,1B,0.319,0.433,0.472,0.906,60,263,216,43,69,12,0,7,54,7,38,52,0,0
Akili Carris,New Mexico,SR,3B,0.319,0.371,0.45,0.821,51,215,191,41,61,10,3,3,41,2,16,23,5,0
Reed Stallman,Mississippi State,GR,1B,0.319,0.415,0.626,1.041,52,195,163,32,52,12,1,12,52,6,23,48,3,1
Joe Tiroly,Virginia,JR,2B,0.319,0.408,0.576,0.984,60,277,238,59,76,13,0,16,66,7,30,39,2,0
Casey Wensley,Bryant,JR,1B,0.319,0.424,0.451,0.875,52,246,204,56,65,14,5,1,33,5,34,17,30,2
Tyler Kamerer,Marshall,JR,2B,0.319,0.379,0.448,0.827,55,256,232,56,74,20,2,2,30,7,16,30,6,3
Nick Dicarlo,North Carolina A&#038;T,SR,CF,0.319,0.358,0.399,0.757,47,206,188,29,60,11,2,0,21,1,12,21,10,4
Owen Nowak,Middle Tennessee,JR,CF,0.319,0.437,0.474,0.911,57,263,213,50,68,9,0,8,37,10,36,11,8,1
Jonathan Gonzalez-Perez,UMES,SR,C,0.319,0.393,0.61,1.002,48,217,182,37,58,9,1,14,58,4,22,33,1,1
Andrey Martinez,Bethune-Cookman,SR,3B,0.319,0.394,0.618,1.012,51,236,204,55,65,14,1,15,53,5,23,32,10,1
Brady Miller,Lipscomb,SO,2B,0.319,0.446,0.394,0.839,44,202,160,42,51,6,0,2,30,9,30,32,6,2
Khamaree Thomas,Michigan State,SO,CF,0.319,0.402,0.418,0.819,51,220,182,40,58,12,0,2,31,1,27,35,8,1
Ian Wirtz,Lehigh,SO,DH,0.319,0.401,0.431,0.832,35,137,116,19,37,9,2,0,18,2,16,27,3,0
Tanner Berry,UNC Greensboro,FR,C,0.319,0.422,0.403,0.825,44,176,144,26,46,7,1,1,25,9,18,44,2,3
Matthew Russo,Southern Miss,SR,1B,0.318,0.426,0.525,0.951,61,284,236,50,75,16,0,11,56,24,22,42,0,0
Brant Baughcum,Mercer,SR,3B,0.318,0.414,0.532,0.946,58,271,220,55,70,14,0,11,52,17,22,28,7,0
Luke Gaffney,Clemson,JR,1B,0.318,0.437,0.512,0.95,55,248,201,36,64,12,0,9,43,11,33,24,0,0
Rashawn Galloway,Texas State,SR,RF,0.318,0.368,0.58,0.948,62,285,264,53,84,27,3,12,48,3,18,23,1,1
Brady Powell,Radford,JR,LF,0.318,0.417,0.414,0.831,45,190,157,22,50,12,0,1,27,9,19,21,12,3
Ethan Thomas,Northern Kentucky,GR,1B,0.318,0.414,0.547,0.961,48,203,170,38,54,12,0,9,39,8,22,42,1,1
Jaylen Hernandez,Winthrop,JR,LF,0.318,0.456,0.601,1.057,57,252,198,43,63,11,0,15,45,24,28,45,10,5
Kaiden Dossa,Yale,JR,CF,0.318,0.427,0.523,0.95,45,221,176,54,56,14,2,6,40,4,34,47,28,0
Camden Kozeal,Arkansas,JR,SS,0.318,0.41,0.653,1.063,62,289,245,59,78,18,2,20,71,4,36,54,1,1
Ty Fredo,Mount St. Mary&#8217;s,JR,3B,0.318,0.467,0.561,1.028,42,199,148,46,47,6,3,8,43,6,39,28,24,3
Jaden Correa,Morehead State,FR,SS,0.318,0.346,0.58,0.925,48,189,176,35,56,8,1,12,47,1,7,45,9,4
Grayson Childers,Queens (NC),JR,1B,0.318,0.452,0.613,1.065,53,223,173,35,55,13,1,12,32,9,35,45,5,3
Zion Taylor,Austin Peay,SR,LF,0.318,0.41,0.521,0.931,54,257,217,52,69,15,1,9,44,3,33,47,6,5
Isaac Sturgess,Michigan State,SO,CF,0.318,0.381,0.469,0.849,52,218,192,42,61,15,1,4,33,4,18,35,4,3
Finnegan Stewart,Utah Tech,SO,LF,0.318,0.386,0.514,0.899,57,250,220,34,70,16,3,7,56,4,22,47,1,2
Mateo Rickman,Cal State Northridge,FR,DH,0.318,0.383,0.462,0.845,44,151,132,20,42,8,1,3,21,8,7,22,1,1
Joey Donnelly,Fordham,GR,RF,0.317,0.404,0.582,0.986,53,225,189,44,60,17,0,11,47,5,25,42,15,5
Drake Anderson,Incarnate Word,SR,2B,0.317,0.442,0.445,0.887,47,213,164,30,52,6,0,5,27,10,30,34,5,7
Collin Quintano,Villanova,SR,DH,0.317,0.418,0.598,1.016,46,196,164,33,52,13,0,11,46,8,22,49,0,0
Justin Best,Manhattan,JR,RF,0.317,0.453,0.506,0.959,49,212,164,36,52,8,1,7,32,12,32,43,4,0
Cooper Neville,Dallas Baptist,JR,3B,0.317,0.421,0.5,0.921,57,245,202,49,64,11,1,8,38,5,33,54,17,4
Breckin Nace,Radford,JR,1B,0.317,0.446,0.497,0.944,52,234,183,41,58,11,2,6,53,11,35,37,7,0
Kyle Jones,Florida,JR,CF,0.317,0.418,0.478,0.895,58,275,224,58,71,16,1,6,46,10,33,45,17,4
Javier Crespo,UCF,SR,3B,0.317,0.408,0.457,0.865,52,220,186,34,59,9,1,5,26,10,20,28,1,0
Eric Becker,Virginia,JR,SS,0.317,0.427,0.533,0.961,45,220,180,52,57,16,1,7,42,18,19,36,4,1
Robert Nedry,Charlotte,JR,2B,0.317,0.427,0.442,0.869,56,242,199,40,63,11,1,4,31,7,32,43,9,2
Daniel Murillo,California,GR,1B,0.317,0.363,0.532,0.895,53,237,218,33,69,10,2,11,45,5,12,32,9,3
Ehi Okojie,UMBC,SR,LF,0.317,0.395,0.58,0.975,52,233,205,48,65,18,0,12,60,5,22,31,5,2
Wandel Campana,Western Illinois,SR,2B,0.317,0.454,0.435,0.89,52,242,186,32,59,10,0,4,38,16,34,37,8,2
Konner Giddley,Arkansas-Pine Bluff,JR,2B,0.317,0.413,0.397,0.81,53,233,189,36,60,8,2,1,31,8,25,29,5,1
Wylie Waters,USC Upstate,SR,1B,0.317,0.392,0.551,0.943,58,232,205,37,65,10,1,12,50,8,18,60,2,2
Grayson Ashe,Jacksonville State,JR,C,0.317,0.408,0.48,0.888,63,271,221,44,70,10,1,8,64,14,25,37,3,1
Connor Ross,California Baptist,JR,3B,0.317,0.456,0.609,1.065,58,262,202,53,64,14,0,15,50,13,41,49,7,5
Taylor Kirk,Fordham,SO,2B,0.317,0.402,0.42,0.822,55,265,224,53,71,13,2,2,30,8,26,27,30,7
Nick Flores,VCU,SO,LF,0.317,0.373,0.489,0.862,54,248,221,40,70,23,0,5,38,6,14,25,18,3
Cade Arrambide,LSU,SO,C,0.317,0.417,0.646,1.063,51,223,189,44,60,8,0,18,51,5,28,63,0,0
Ethan Surowiec,Florida,SO,3B,0.317,0.409,0.528,0.938,62,287,246,53,78,14,1,12,63,2,37,66,2,2
Anthony DeCeasare,Delaware,FR,C,0.317,0.416,0.51,0.927,43,173,145,32,46,7,0,7,31,5,21,28,0,2
Sam Harry,Sacramento State,FR,CF,0.317,0.398,0.472,0.869,61,285,246,59,78,19,2,5,34,11,24,53,4,3
Ryan King,Rhode Island,GR,3B,0.316,0.42,0.556,0.977,52,229,187,52,59,12,0,11,36,16,20,23,5,1
Matthew Strand,Duke,GR,C,0.316,0.398,0.632,1.03,47,201,174,35,55,9,2,14,45,3,22,51,15,0
Temo Becerra,Texas,SR,3B,0.316,0.433,0.461,0.894,56,255,206,48,65,10,1,6,42,5,40,43,12,0
Michael Trommer,Bucknell,SR,LF,0.316,0.421,0.536,0.956,51,234,196,47,62,14,1,9,25,9,27,40,1,0
Henry Kaczmar,Ohio State,SR,SS,0.316,0.398,0.591,0.989,55,261,225,50,71,26,0,12,47,5,27,46,7,1
Ryan Kennell,Gardner-Webb,SR,2B,0.316,0.37,0.406,0.776,53,236,212,34,67,13,0,2,32,5,15,47,7,2
Jake Ogden,Miami,SR,2B,0.316,0.388,0.472,0.86,59,288,250,62,79,13,4,6,36,7,25,40,12,3
Blake Cyr,Florida,SR,LF,0.316,0.398,0.591,0.988,56,255,215,53,68,15,1,14,58,13,20,49,6,2
Jeremy Sheffield,Georgetown,SR,1B,0.316,0.434,0.448,0.882,55,258,212,40,67,14,1,4,47,3,42,35,15,3
Reese Chapman,Tennessee,SR,RF,0.316,0.417,0.583,1,57,247,206,52,65,20,1,11,46,5,31,45,7,0
Jack Toomey,Boston College,SR,RF,0.316,0.445,0.54,0.985,49,219,174,52,55,14,5,5,27,4,38,41,18,1
David Mendez,Maryland,JR,2B,0.316,0.401,0.549,0.95,54,254,215,56,68,13,2,11,50,8,25,31,12,2
Seth Smith,Southern Miss,JR,SS,0.316,0.393,0.437,0.83,58,256,215,42,68,9,1,5,28,6,23,42,6,2
Mark Henning,Stephen F. Austin,SR,1B,0.316,0.417,0.456,0.873,53,229,193,36,61,15,0,4,33,6,28,22,7,2
Dylan Biddick,New Orleans,JR,LF,0.316,0.445,0.563,1.008,54,256,206,35,65,13,1,12,37,4,45,50,2,2
Landen Johnson,High Point,SR,1B,0.316,0.425,0.549,0.974,57,261,215,42,68,20,0,10,45,3,40,39,3,0
Gialdri Gomez,North Florida,JR,RF,0.316,0.418,0.474,0.891,46,184,152,32,48,9,0,5,27,8,20,25,5,1
Caleb Klein,Southeast Missouri State,JR,CF,0.316,0.437,0.491,0.929,57,281,228,65,72,10,3,8,39,19,31,30,14,5
Griffin Olson,Morehead State,SR,3B,0.316,0.451,0.497,0.948,47,196,155,46,49,12,2,4,26,5,34,50,19,5
Caden Wolfley,Charleston Southern,FR,LF,0.316,0.451,0.373,0.824,50,229,177,51,56,10,0,0,23,9,37,30,16,5
Ryan Skjonsby,Washington State,SR,1B,0.316,0.409,0.485,0.895,59,245,206,42,65,9,1,8,55,11,23,38,5,2
Gus Gandy,Samford,SO,SS,0.316,0.39,0.474,0.864,56,222,190,44,60,12,3,4,25,5,20,29,11,4
JC Osorio-Agard,San Jose State,JR,3B,0.316,0.37,0.557,0.927,43,192,174,30,55,17,2,7,31,4,12,37,0,0
Cole Decker,Indiana,SO,CF,0.316,0.422,0.45,0.873,50,213,171,27,54,9,1,4,28,6,27,38,8,3
Will Geary,Lindenwood,FR,2B,0.316,0.409,0.453,0.862,57,266,225,43,71,12,5,3,26,9,28,33,27,7
Luke Mistone,Murray State,SR,1B,0.315,0.377,0.417,0.794,60,284,254,46,80,14,0,4,56,13,14,16,11,2
Jimmy Nugent,Louisville,JR,C,0.315,0.44,0.595,1.035,47,209,168,41,53,14,0,11,39,9,30,53,9,4
Easton Rulli,New Mexico State,JR,RF,0.315,0.388,0.5,0.888,42,166,146,33,46,8,2,5,33,8,10,29,4,3
Willie Ponce,High Point,GR,SS,0.315,0.441,0.472,0.913,57,275,216,58,68,13,3,5,36,20,31,31,16,5
Jared Mettam,Saint Mary&#8217;s,SR,SS,0.315,0.373,0.416,0.789,58,247,219,31,69,9,2,3,30,5,16,35,6,2
Kendall Brookins,Mississippi Valley State,SR,LF,0.315,0.427,0.383,0.81,42,178,149,16,47,8,1,0,23,3,26,34,9,3
Ben Tryon,Dallas Baptist,JR,1B,0.315,0.426,0.54,0.966,56,258,213,54,67,11,2,11,37,10,33,42,5,1
Lane Haworth,UTSA,JR,RF,0.315,0.43,0.498,0.927,57,277,219,49,69,13,0,9,47,6,44,38,11,3
Adam Haber,Georgia State,GR,LF,0.315,0.389,0.469,0.857,46,170,143,21,45,14,1,2,25,2,16,21,4,0
David Alvarez,Eastern Kentucky,JR,LF,0.315,0.373,0.514,0.886,54,244,222,40,70,16,2,8,49,9,12,50,1,4
Will Millard,North Alabama,JR,C,0.315,0.427,0.54,0.967,52,240,200,47,63,13,1,10,39,7,32,28,0,1
Connor Chisolm,Murray State,GR,2B,0.315,0.432,0.505,0.937,59,277,222,51,70,13,4,7,39,10,38,24,18,3
Brian Duroff,Elon,GR,LF,0.315,0.414,0.503,0.917,53,239,197,39,62,19,0,6,48,17,20,29,9,1
Cam Hoiland,Cal Poly,GR,DH,0.315,0.408,0.494,0.903,53,216,178,42,56,14,0,6,28,6,25,24,1,2
AJ Brotz,Marist,SR,SS,0.315,0.37,0.441,0.812,55,249,222,43,70,13,3,3,33,7,13,13,16,1
Edwin Lemus Hudson Jr.,Jackson State,JR,DH,0.315,0.441,0.416,0.857,43,188,149,35,47,8,2,1,37,16,19,22,1,1
Erick Almonte,Bethune-Cookman,SR,SS,0.315,0.447,0.47,0.917,57,256,200,50,63,15,2,4,49,7,43,26,15,4
AJ Kolb,Towson,SO,2B,0.315,0.379,0.371,0.75,42,152,124,20,39,1,0,2,21,5,9,9,10,1
Matthew Perez,Florida A&#038;M,SO,SS,0.315,0.38,0.405,0.785,53,230,200,37,63,9,0,3,34,1,23,34,1,0
Lucas Alberti,George Mason,SO,LF,0.315,0.422,0.451,0.873,56,258,213,45,67,7,2,6,46,9,32,33,23,7
Kyle Krupp,Morehead State,FR,LF,0.315,0.398,0.392,0.79,47,207,181,33,57,5,3,1,24,3,22,32,24,9
Chris Schaller,Richmond,FR,CF,0.315,0.393,0.525,0.918,46,187,162,31,51,14,1,6,32,14,7,41,14,3
Garrett Wiethorn,UL Monroe,FR,RF,0.315,0.403,0.442,0.846,49,194,165,37,52,9,0,4,28,7,18,40,9,2
Noah Meffert,Gonzaga,SR,RF,0.314,0.34,0.538,0.878,53,245,223,49,70,15,1,11,47,0,13,53,9,4
Gavin Greger,Bryant,JR,CF,0.314,0.398,0.404,0.802,51,227,188,28,59,7,2,2,26,4,25,23,20,5
Michael Brown,Hofstra,JR,SS,0.314,0.396,0.436,0.833,47,225,188,49,59,10,2,3,37,10,19,24,11,1
Will Gasparino,UCLA,JR,CF,0.314,0.41,0.659,1.069,58,261,220,53,69,12,2,20,63,9,29,55,3,2
Cristino Tufano,George Washington,JR,3B,0.314,0.436,0.425,0.861,46,192,153,30,48,7,2,2,21,6,28,16,6,3
Riley Iffrig,Saint Louis,JR,1B,0.314,0.418,0.422,0.84,54,245,204,32,64,10,0,4,31,14,24,22,0,1
Pierre Cabral,Jackson State,SR,LF,0.314,0.416,0.522,0.938,53,251,207,52,65,19,0,8,52,11,28,36,14,4
Jordan Thomas,Lipscomb,JR,LF,0.314,0.385,0.604,0.989,49,181,159,31,50,11,1,11,43,4,15,30,9,3
Boone Hosey,North Florida,JR,DH,0.314,0.463,0.474,0.937,49,203,156,33,49,11,1,4,25,3,42,55,4,1
Bradyn Horn,Milwaukee,SO,LF,0.314,0.384,0.459,0.843,52,215,185,26,58,12,0,5,38,1,22,40,5,2
Shaun McMillan,St. John&#8217;s,SO,1B,0.314,0.396,0.494,0.89,60,275,239,42,75,11,1,10,43,4,30,53,3,1
Guriyandel Salva,Manhattan,JR,2B,0.314,0.391,0.393,0.784,47,221,191,24,60,9,0,2,33,6,20,21,6,3
Josiah Overbeek,Army,FR,DH,0.314,0.514,0.712,1.226,46,220,153,52,48,8,1,17,43,9,56,41,3,0
Mason McCraine,Auburn,FR,RF,0.314,0.422,0.533,0.955,49,206,169,43,53,12,2,7,40,5,29,45,5,3
Mason Braun,LSU,FR,1B,0.314,0.475,0.429,0.904,53,187,140,30,44,5,1,3,21,8,35,33,1,1
Colt Brown,Louisiana,FR,C,0.314,0.399,0.493,0.893,65,272,229,43,72,15,1,8,53,6,29,40,7,3
Elijha Hammill,Niagara,SR,CF,0.313,0.407,0.464,0.871,41,195,166,30,52,7,0,6,23,3,24,20,6,2
Luke Boykin,Samford,JR,LF,0.313,0.345,0.683,1.028,52,223,208,42,65,13,2,20,61,4,8,43,1,0
Gio Colasante,Harvard,SR,1B,0.313,0.402,0.563,0.965,37,169,144,28,45,7,1,9,31,5,18,47,11,1
Simmi Whitehill,Monmouth,SR,3B,0.313,0.43,0.467,0.897,53,244,195,41,61,10,1,6,44,7,34,72,15,4
Erich Hartmann,Rider,SR,RF,0.313,0.358,0.474,0.832,52,257,230,48,72,14,1,7,41,6,13,24,2,0
Stewart Puckett,South Alabama,JR,3B,0.313,0.38,0.525,0.905,52,224,198,40,62,11,2,9,43,5,17,47,7,0
Travis Ilitch,Georgetown,SR,LF,0.313,0.403,0.333,0.736,55,234,195,30,61,4,0,0,29,9,21,29,9,3
Tanner Aoki,Mississippi Valley State,SR,2B,0.313,0.453,0.325,0.778,47,204,160,29,50,2,0,0,16,9,32,20,5,8
Jaylon Lucky,Southern,SR,1B,0.313,0.473,0.452,0.925,50,226,166,48,52,15,1,2,42,6,49,34,10,3
Chris Cole,Kennesaw State,GR,CF,0.313,0.421,0.44,0.861,40,184,150,30,47,8,1,3,18,5,23,40,22,3
Walker Mitchell,Coastal Carolina,JR,3B,0.313,0.433,0.406,0.838,60,277,217,45,68,17,0,1,54,21,27,49,11,3
Sean Smith,West Virginia,GR,DH,0.313,0.404,0.502,0.906,57,247,211,43,66,10,3,8,49,9,24,49,5,1
Austen Roellig,Arizona State,SO,3B,0.313,0.402,0.416,0.817,56,258,214,43,67,11,1,3,38,6,29,37,6,3
Thomas Curry,Illinois-Chicago,JR,C,0.313,0.405,0.578,0.983,54,247,211,50,66,13,2,13,53,9,25,40,1,2
Scott Gell,Stony Brook,JR,C,0.313,0.383,0.461,0.843,43,151,128,24,40,10,0,3,34,5,12,17,5,0
Nick Romano,Florida Atlantic,SR,3B,0.313,0.435,0.412,0.847,56,262,211,33,66,6,0,5,38,12,36,42,1,1
Jaylyn Bennett,Alcorn State,GR,2B,0.313,0.428,0.438,0.865,48,197,160,27,50,10,2,2,25,16,17,46,8,3
Frank Kelly,High Point,JR,2B,0.313,0.445,0.445,0.89,56,237,182,45,57,15,0,3,30,11,33,38,13,4
Nate Conner,East Tennessee State,JR,RF,0.313,0.413,0.654,1.067,53,259,214,62,67,19,3,16,52,8,32,47,3,1
Wailele Kane-Yates,Oral Roberts,SR,C,0.313,0.403,0.48,0.883,51,233,198,39,62,10,1,7,41,14,18,35,0,0
Ryan Tyranski,Cincinnati,FR,LF,0.313,0.45,0.518,0.968,50,210,166,47,52,7,3,7,34,4,38,28,14,0
AJ Putty,Illinois,FR,1B,0.313,0.396,0.507,0.903,55,255,217,41,68,13,1,9,52,4,29,47,3,0
Blake Moore,William &#038; Mary,FR,LF,0.313,0.432,0.455,0.887,41,164,134,35,42,8,1,3,18,10,18,24,22,3
Bryson Webb,Central Michigan,JR,3B,0.312,0.399,0.497,0.896,50,224,189,52,59,12,1,7,35,9,19,54,13,2
Nick Groves,Illinois,SR,LF,0.312,0.446,0.42,0.865,54,262,205,44,64,11,4,1,26,11,40,27,12,4
Ryan Kroepel,Utah Tech,JR,3B,0.312,0.469,0.423,0.892,59,292,215,55,67,4,1,6,47,17,51,37,8,3
Owen Carlson,Cornell,JR,2B,0.312,0.433,0.394,0.827,30,134,109,17,34,3,0,2,12,1,23,17,0,1
Ronan Donohue,Sacred Heart,JR,3B,0.312,0.45,0.468,0.918,48,218,173,35,54,10,1,5,32,10,34,42,16,5
Tyvon Moore,Prairie View,GR,2B,0.312,0.414,0.478,0.891,44,194,157,42,49,10,5,2,23,13,17,38,12,3
Merik Carter,Gardner-Webb,SR,CF,0.312,0.444,0.561,1.004,54,249,189,50,59,12,1,11,40,5,46,28,16,6
Parker Gwyn,Central Arkansas,JR,2B,0.312,0.386,0.486,0.872,57,253,218,44,68,14,3,6,33,6,22,42,13,8
Trevor Lucas,UNC Wilmington,JR,3B,0.312,0.429,0.556,0.985,58,259,205,43,64,12,1,12,56,9,38,35,9,1
Sean Stephenson,Iona,SO,DH,0.312,0.389,0.435,0.823,37,158,138,20,43,8,0,3,22,5,13,23,4,4
Brendan Lawson,Florida,SO,SS,0.312,0.511,0.699,1.21,56,264,186,68,58,11,2,19,48,24,53,46,14,2
Jack Lausch,Northwestern,SR,CF,0.312,0.393,0.653,1.047,52,234,202,52,63,13,4,16,41,4,25,65,8,2
Cade Baker,Toledo,JR,RF,0.312,0.388,0.498,0.886,61,294,253,59,79,23,0,8,49,24,11,32,18,3
Dean Mihos,Coastal Carolina,SR,CF,0.311,0.401,0.455,0.856,60,294,244,59,76,15,1,6,43,11,29,49,13,5
Christian Smith,Quinnipiac,SR,1B,0.311,0.372,0.584,0.956,39,180,161,32,50,16,2,8,31,9,8,32,0,0
Ryan Franden,Sam Houston,JR,3B,0.311,0.415,0.533,0.948,46,213,180,35,56,11,1,9,35,4,28,21,4,2
Jack Porter,Penn State,JR,RF,0.311,0.376,0.477,0.853,41,173,151,29,47,13,0,4,21,7,11,17,0,0
Jeric Curtis,Sam Houston,SR,CF,0.311,0.412,0.451,0.863,57,256,206,43,64,14,3,3,20,18,18,51,27,9
Joe Frazzetta,New Haven,JR,3B,0.311,0.371,0.391,0.762,42,167,151,22,47,9,0,1,26,5,10,16,8,2
Thomas Marsala III,Northwestern State,SR,1B,0.311,0.373,0.509,0.883,52,241,212,38,66,9,0,11,43,3,21,42,3,1
James Green,Presbyterian,JR,CF,0.311,0.426,0.419,0.846,54,207,167,38,52,13,1,1,16,13,22,33,14,5
Alex LaCoste,College of Charleston,SO,1B,0.311,0.391,0.458,0.849,48,202,177,29,55,5,0,7,36,6,18,35,8,2
Micah Rienstra-Kiracofe,Kent State,SO,CF,0.311,0.43,0.479,0.909,53,238,190,48,59,10,2,6,40,7,35,42,14,7
Eli Hudgins,Radford,SO,CF,0.311,0.389,0.454,0.843,48,210,183,31,57,18,1,2,23,11,13,30,5,2
Jayden Reynolds,Texas A&#038;M-Corpus Christi,JR,LF,0.311,0.381,0.386,0.767,40,150,132,26,41,4,0,2,18,3,12,26,9,3
Bear Madliak,Kansas State,SR,C,0.31,0.414,0.55,0.964,51,211,171,44,53,14,0,9,45,2,32,31,5,1
AJ Nessler,Pittsburgh,SR,CF,0.31,0.41,0.496,0.906,56,278,232,64,72,6,5,9,42,6,36,34,13,1
JW Fitzgerald,Sacred Heart,SR,LF,0.31,0.388,0.38,0.767,41,182,158,26,49,4,2,1,11,2,18,28,18,2
Luke Stulga,Illinois State,JR,CF,0.31,0.347,0.488,0.835,56,263,242,37,75,13,6,6,41,8,8,44,3,4
Maloy Heaghney,USC Upstate,SO,SS,0.31,0.433,0.485,0.919,61,294,239,61,74,22,1,6,52,8,45,64,22,3
Michael Perazza,Florida Atlantic,JR,LF,0.31,0.371,0.435,0.806,52,232,200,33,62,7,3,4,31,5,18,41,3,2
Camden Johnson,Oklahoma,JR,3B,0.31,0.402,0.5,0.902,57,258,216,54,67,11,3,8,44,7,28,60,26,3
Trey Bridges,Grambling,SR,CF,0.31,0.498,0.425,0.923,52,241,174,52,54,9,1,3,25,10,55,49,14,3
Keldrin Rodriguez,Towson,JR,RF,0.31,0.389,0.515,0.904,48,200,171,34,53,12,1,7,40,6,18,39,7,1
Aidan Paradine,Siena,SO,C,0.31,0.408,0.477,0.885,49,212,174,32,54,11,0,6,38,4,28,12,0,0
Harold Laracuente,UT Arlington,JR,SS,0.31,0.432,0.439,0.871,49,230,187,41,58,16,1,2,22,12,29,43,10,3
Jacob Gillis,Ball State,JR,1B,0.31,0.386,0.5,0.886,54,233,200,31,62,8,0,10,48,3,25,27,0,0
Riley Luft,Appalachian State,SO,RF,0.31,0.432,0.435,0.867,52,251,200,46,62,10,0,5,44,18,28,38,4,1
Sean Yamaguchi,Nevada,SO,3B,0.31,0.383,0.595,0.978,44,188,168,37,52,6,0,14,37,1,19,30,1,0
Ryan Thompson,Rhode Island,SO,1B,0.31,0.382,0.475,0.857,51,228,200,37,62,12,0,7,38,7,18,37,5,1
Nolan Grawe,South Dakota State,SO,3B,0.31,0.388,0.527,0.915,54,262,226,50,70,18,5,7,48,5,26,29,7,2
Clayton Namken,Texas State,FR,C,0.31,0.403,0.58,0.983,50,206,174,31,54,10,2,11,34,2,27,46,1,3
Ethan Ball,Virginia Tech,FR,2B,0.31,0.42,0.66,1.081,55,245,203,43,63,18,1,17,52,18,22,76,3,1
Damian Ruiz,Arkansas,JR,LF,0.309,0.442,0.454,0.896,54,245,194,51,60,13,0,5,30,12,35,41,16,1
Caleb Johnson,Jacksonville State,SR,SS,0.309,0.413,0.559,0.972,62,273,220,59,68,21,2,10,53,17,24,51,23,3
Harrison Didawick,Virginia,SR,LF,0.309,0.382,0.514,0.896,60,275,243,49,75,13,5,9,54,5,25,62,13,4
Camden Ross,Western Kentucky,SR,C,0.309,0.452,0.497,0.949,54,232,181,47,56,13,0,7,41,12,36,42,1,2
Zeb Allen,Central Arkansas,JR,LF,0.309,0.383,0.623,1.005,53,244,204,54,63,7,3,17,53,7,23,45,20,3
Brett Rogers,Middle Tennessee,SO,RF,0.309,0.423,0.411,0.834,57,248,207,46,64,13,1,2,26,4,37,43,13,5
Kevin Takeuchi,Southern California,JR,CF,0.309,0.415,0.528,0.943,63,288,233,63,72,18,3,9,59,5,42,43,14,1
Tanner Recchio,St. Thomas,JR,2B,0.309,0.404,0.422,0.826,50,249,204,48,63,15,1,2,29,8,26,21,41,5
Gene Trujillo,New Mexico,JR,1B,0.309,0.442,0.517,0.959,52,226,178,37,55,20,1,5,41,7,38,71,1,1
Steven Meier,Troy,SR,CF,0.309,0.454,0.525,0.978,58,264,204,45,63,9,4,9,43,17,38,50,10,8
Manny Salas,Texas State,JR,DH,0.309,0.411,0.584,0.995,63,275,233,55,72,14,1,16,42,8,33,68,11,3
James Love,Eastern Illinois,SO,3B,0.309,0.444,0.531,0.976,54,263,207,50,64,18,2,8,45,17,35,37,5,2
Ben Timblin,Wofford,SO,RF,0.309,0.426,0.685,1.111,52,225,181,53,56,8,6,16,64,9,30,46,15,2
Zach Leite,Old Dominion,SR,1B,0.309,0.412,0.446,0.858,55,251,204,40,63,13,0,5,66,17,23,34,0,1
