Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Jeremy Cheeseman,Fairleigh Dickinson,SR,4,4,7.01,14,14,0,0,0,68,92,58,53,30,45,9,0.331
Ryan Borberg,Dallas Baptist,SR,1,1,7.02,15,15,0,0,0,59,71,52,46,23,45,11,0.296
Shane Sdao,Texas A&#038;M,JR,4,4,7.03,17,13,0,0,0,71.2,98,59,56,20,83,7,0.318
Riley Peterson,Milwaukee,JR,6,4,7.03,17,15,0,0,0,71.2,77,60,56,27,75,18,0.278
Carter Samuelson,UAB,FR,5,3,7.05,20,11,0,0,0,60,74,55,47,39,37,10,0.312
Eli Green,Northern Kentucky,SR,1,3,7.11,17,9,0,0,1,55.2,60,44,44,33,49,7,0.274
Joe LoPinto,Canisius,JR,5,7,7.12,16,15,0,0,0,72,85,63,57,37,55,11,0.289
Seth Garner,Memphis,SR,1,6,7.13,15,12,0,0,0,59.1,77,54,47,21,42,6,0.31
Hunter Colagrande,Stony Brook,SO,1,4,7.14,14,14,0,0,0,58,78,52,46,21,62,11,0.32
Reid Bertram,Gardner-Webb,SR,3,4,7.15,13,13,1,0,0,61.2,78,52,49,20,40,12,0.317
Jacob Jette,UMass Lowell,SR,2,7,7.19,14,12,0,0,0,56.1,66,55,45,29,38,5,0.292
Jake Francis,Villanova,JR,1,5,7.21,21,11,0,0,1,53.2,76,48,43,13,34,14,0.341
Michael Lane,Delaware State,JR,4,9,7.24,14,14,1,0,0,73.1,91,71,59,31,88,7,0.301
Jacob Hines,Central Connecticut,SO,2,7,7.27,12,12,1,0,0,52,57,50,42,39,37,12,0.278
Trevor Esparza,Grambling,JR,4,3,7.28,18,8,0,0,0,55.2,77,54,45,29,54,9,0.321
Justin Ritz,Coppin State,SR,1,3,7.3,26,2,1,0,4,49.1,60,46,40,17,40,16,0.294
Tyler Hartley,Marist,JR,5,4,7.32,14,14,0,0,0,59,78,51,48,31,38,10,0.328
Joshua Caravalho,Houston Christian,SR,2,5,7.34,15,8,0,0,0,57.2,66,52,47,28,52,5,0.281
Wilson Perkins,Davidson,SR,1,4,7.34,15,15,0,0,0,72.1,110,62,59,22,50,6,0.355
Ryan Weaver,Northwestern,GR,1,7,7.39,15,13,0,0,0,70.2,87,61,58,26,54,11,0.31
Dutch DeProspero,Towson,SR,3,8,7.43,15,14,0,0,0,59.1,92,59,49,24,48,10,0.347
Maverick Torres,West Georgia,SO,2,5,7.45,17,11,0,0,0,58,73,50,48,28,47,6,0.303
Griffin Stieg,Virginia Tech,JR,2,5,7.46,16,15,0,0,0,66.1,86,56,55,33,52,9,0.321
Trevor Landen,Northern Colorado,JR,0,7,7.46,17,7,0,0,1,56.2,66,49,47,36,37,6,0.297
Elliot Eaton,Princeton,JR,2,6,7.5,14,6,0,0,1,48,52,43,40,23,37,17,0.281
Shane McAlinden,CSU Bakersfield,JR,3,6,7.51,14,13,0,0,0,56.1,77,57,47,37,33,7,0.335
Parker Dillhoff,UNLV,SR,4,5,7.53,15,15,1,0,0,69.1,80,66,58,43,94,7,0.288
Jason Buhl,Western Illinois,GR,2,7,7.55,19,14,0,0,0,62,85,56,52,23,44,4,0.335
Heath Andrews,NC State,JR,3,4,7.55,15,13,0,0,0,64.1,79,58,54,35,58,7,0.303
Jase Phillips,SIU Edwardsville,JR,3,4,7.56,14,13,0,0,0,58.1,62,52,49,35,45,7,0.27
Adam Behrens,Loyola Marymount,JR,2,7,7.68,15,12,1,0,1,68,92,62,58,15,45,9,0.323
Nolan Kirsch,Mercyhurst,JR,2,6,7.69,17,3,0,0,1,48,49,44,41,36,37,6,0.263
James Ellis,Saint Peter&#8217;s,SR,0,10,7.69,13,13,0,0,0,59.2,78,63,51,43,33,14,0.31
Carter Fink,Niagara,JR,2,4,7.76,15,11,0,0,0,55.2,84,56,48,25,46,9,0.351
Esteban Torres,UMES,SO,3,7,7.78,14,9,0,0,0,56.2,58,55,49,47,36,9,0.266
Gaines Estridge,Air Force,JR,3,5,7.79,16,11,0,0,1,64.2,92,66,56,16,41,0,0.323
Darin Kuskie,Old Dominion,JR,4,8,7.8,15,14,0,0,0,60,82,55,52,24,65,3,0.325
David Thomas,San Jose State,SR,5,5,7.82,14,14,3,1,0,73.2,102,68,64,21,59,3,0.329
Benjamin Hudson,Penn State,SO,2,10,7.83,14,14,0,0,0,64.1,76,59,56,22,49,13,0.296
AJ Petraitis,Le Moyne,JR,5,6,7.9,15,15,0,0,0,82,96,78,72,44,57,7,0.289
Avery Laine,Loyola Marymount,SR,2,4,7.92,15,15,0,0,0,61.1,84,63,54,29,28,8,0.331
Aden Knowles,Towson,FR,2,4,7.97,17,9,0,0,0,61,76,57,54,29,54,7,0.31
Sam Novotny,South Dakota State,JR,3,7,7.99,15,14,0,0,0,65.1,83,65,58,27,49,5,0.305
Logan Darnell,Mississippi Valley State,SO,2,7,8.02,17,9,0,0,0,55,93,55,49,15,29,6,0.383
Alessandro Castro,Nevada,JR,3,4,8.1,14,12,0,0,0,53.2,81,56,48,23,44,4,0.351
Tyler Sausville,Siena,SR,1,4,8.13,13,10,0,0,0,52,72,57,47,31,46,3,0.317
Jeremy Vest,Delaware State,SO,2,5,8.16,14,11,0,0,0,60.2,83,70,55,39,37,13,0.316
Colton Kennedy,Utah Valley,SR,1,5,8.2,14,10,0,0,0,56,67,66,51,37,61,7,0.29
Tyler Patrick,Fresno State,SO,1,4,8.21,18,9,0,0,0,57,92,54,52,16,29,10,0.367
Anthony Solis,Eastern Illinois,JR,4,4,8.35,20,8,0,0,2,69,93,67,64,30,50,4,0.32
Beau Beaty,Prairie View,SR,3,10,8.38,14,13,1,1,0,72,89,69,67,29,35,17,0.31
Brandon Mikos,Youngstown State,SR,1,8,8.46,14,10,0,0,0,55.1,81,55,52,26,37,4,0.345
Brandt Corley,UL Monroe,JR,2,3,8.54,14,14,0,0,0,57.1,79,49,54,31,61,14,0.326
Carter DeGondea,Georgia Southern,JR,1,5,8.69,16,14,0,0,0,58,83,59,56,30,57,7,0.335
Luke VanMarter,Le Moyne,FR,5,6,8.74,15,11,0,0,0,57.2,73,66,56,52,43,5,0.311
Mason Gass,Ohio,FR,3,4,8.78,19,7,0,0,0,68.2,100,69,67,18,32,8,0.352
Carson Lane,UNLV,JR,3,4,8.81,14,13,0,0,0,62.1,86,62,61,37,71,6,0.33
Jonah Johnson,Loyola Marymount,SR,2,7,9,15,14,0,0,0,66,98,73,66,32,52,11,0.354
Mason Glickman,New Haven,SR,1,6,9.25,15,5,0,0,1,47.2,76,60,49,25,39,15,0.374
Walker Fuller,Norfolk State,SR,0,7,9.35,14,13,0,0,0,51,75,66,53,27,32,5,0.341
Deaton Oak,Bellarmine,GR,2,5,9.38,14,13,0,0,0,55.2,88,61,58,17,25,6,0.361
Cade Williams,UMES,GR,2,6,9.54,14,10,0,0,0,50,72,61,53,37,30,7,0.336
Drew Townson,Fresno State,SR,1,8,9.63,17,10,0,0,0,57,88,71,61,30,47,7,0.337
Jose Cherena,Alcorn State,JR,1,5,10.3,21,3,0,0,0,50.2,79,74,58,47,31,12,0.359
Kayden Sutton,Alcorn State,FR,1,7,10.9,14,10,0,0,0,55.1,82,89,67,45,31,18,0.336
Kurt Thomas,Saint Peter&#8217;s,SR,1,11,11.15,14,13,0,0,0,61.1,104,89,76,49,38,13,0.384
