Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Vaun Larisa,Maine,SR,4,4,4.88,14,12,0,0,0,66.1,69,42,36,30,41,3,0.264
Dawson Richard,Nicholls,JR,3,2,4.88,13,9,0,0,0,48,45,34,26,29,41,7,0.251
Aidan Paul,High Point,JR,5,3,4.88,15,15,1,0,0,72,71,46,39,30,51,6,0.256
Carter Monke,Michigan State,GR,4,5,4.89,15,15,0,0,0,73.2,88,44,40,15,51,8,0.296
Brendan Callanan,Iona,JR,2,4,4.9,14,14,0,0,0,64.1,73,42,35,34,36,6,0.297
Jacob Gutierrez,CSU Bakersfield,SR,5,3,4.91,20,0,0,0,4,58.2,63,35,32,19,55,9,0.281
Mathis Nayral,Kansas,JR,4,3,4.92,17,17,0,0,0,67.2,68,44,37,28,70,6,0.256
Alfred Mucciarone,UMass Lowell,JR,3,5,4.93,14,14,2,1,0,76.2,90,47,42,19,47,9,0.294
Trevor Hansen,UC Irvine,JR,7,4,4.94,14,14,0,0,0,78.1,76,53,43,28,96,9,0.252
Nate Bennett,Niagara,SO,4,1,4.94,12,8,0,0,2,51,55,33,28,19,59,4,0.275
Colby Putnam,Gardner-Webb,FR,5,2,4.94,17,1,0,0,0,58.1,58,38,32,24,40,9,0.262
Connor Fennell,Vanderbilt,JR,4,2,4.96,15,15,0,0,0,85.1,84,49,47,20,102,8,0.258
Joseph Steventon,Wagner,SO,6,5,4.96,15,12,1,0,0,78,76,49,43,28,55,18,0.252
Evan Chaffee,St. John&#8217;s,JR,7,4,4.96,16,16,0,0,0,81.2,88,49,45,32,83,10,0.276
Luke Teschke,Illinois State,FR,4,3,4.96,16,14,0,0,0,61.2,47,39,34,40,50,4,0.21
Bryce Blevins,Marshall,SR,8,5,4.97,15,15,2,0,0,105,121,62,58,19,86,6,0.288
Nuno Parache,Nicholls,SR,1,5,4.97,10,10,0,0,0,50.2,49,35,28,18,44,4,0.24
Cody Airington,Austin Peay,JR,4,3,4.97,14,14,0,0,0,63.1,62,37,35,23,47,11,0.258
Jaron Bleeker,Iowa,SO,7,5,4.97,17,5,0,0,0,63.1,73,40,35,18,55,10,0.29
Nate Isler,Dartmouth,JR,1,6,4.98,11,11,0,0,0,65,68,39,36,25,80,5,0.265
Jacob Hustedde,Murray State,JR,3,4,4.98,15,15,0,0,0,65,59,39,36,26,58,9,0.238
Maddox Meyer,Omaha,SO,5,5,4.98,14,13,0,0,0,68.2,88,48,38,9,58,2,0.306
Ross Felder,Missouri State,FR,3,2,4.98,22,5,0,0,0,56,72,36,31,8,54,3,0.308
Gauge Lockhart,San Francisco,GR,4,3,4.99,16,15,0,0,0,70.1,58,42,39,37,51,12,0.228
Ryan Douglas,Stonehill,GR,5,4,4.99,13,13,1,0,0,70.1,84,47,39,17,43,1,0.3
Blake Gaskey,Northern Illinois,SR,7,2,4.99,28,2,0,0,3,70.1,79,42,39,20,46,10,0.293
Brigden Parker,Little Rock,SR,4,3,4.99,16,16,0,0,0,74,71,44,41,33,60,6,0.259
Tyler Ray,Utah Tech,SR,5,5,4.99,16,12,0,0,0,70.1,64,44,39,26,57,1,0.24
Lazaro Collera,Miami,SO,4,3,4.99,21,13,0,0,0,70.1,66,43,39,31,70,9,0.245
Adam Merritt,Massachusetts,SO,3,3,4.99,13,9,0,0,0,57.2,45,36,32,30,53,8,0.216
Dakoda West,Utah Tech,SR,5,4,5.01,14,14,0,0,0,73.2,91,46,41,26,66,8,0.303
Michael Caruso,Georgia State,JR,7,6,5.01,20,7,0,0,1,69.1,58,36,39,27,67,7,0.223
Cason Sharp,Tennessee-Martin,JR,4,5,5.02,15,10,2,0,0,66.1,87,48,37,22,37,9,0.311
Evan Lichtenauer,Ohio,FR,2,4,5.02,16,10,0,0,0,61,72,40,34,12,17,5,0.286
Ethan Blakeney,Norfolk State,JR,5,5,5.03,14,10,0,0,0,68,64,44,38,35,73,10,0.254
Luc Fladda,Arizona,SR,3,2,5.04,15,13,0,0,0,75,85,45,42,8,63,2,0.285
Luke Howe,Long Beach State,FR,5,4,5.04,14,14,0,0,0,85.2,99,51,48,21,67,8,0.292
Adam Brodnax,UL Monroe,FR,2,4,5.04,13,11,0,0,0,61.2,76,38,35,19,60,12,0.293
LJ Mercurius,Oklahoma,JR,6,7,5.05,17,12,1,0,2,67.2,64,43,38,24,89,10,0.245
Benjamin Stubbs,Troy,SR,5,3,5.06,17,16,0,0,0,85.1,90,52,48,37,78,5,0.268
Gavin Lyons,Texas A&#038;M,SO,9,0,5.06,29,3,0,0,0,69.1,77,42,39,19,56,8,0.276
Adam Guazzo,Valparaiso,JR,2,7,5.07,20,15,0,0,0,60.1,63,36,34,20,43,9,0.275
Trey Ates,Army,SR,5,1,5.07,13,11,1,0,0,60.1,42,39,34,35,42,18,0.195
Riley Marcotte,New Orleans,JR,2,6,5.08,14,9,0,0,0,62,70,42,35,31,42,7,0.292
Ryan King,CSU Bakersfield,SO,4,6,5.09,13,13,0,0,0,63.2,69,42,36,36,56,8,0.283
Jake Lenahan,Holy Cross,SO,3,7,5.1,19,5,0,0,2,65.1,62,44,37,25,67,5,0.246
Nate Vargo,Mercyhurst,SO,3,3,5.11,15,10,2,1,0,68.2,77,44,39,24,46,5,0.274
Brandon Stone,South Carolina,JR,5,5,5.11,17,10,0,0,0,68.2,86,45,39,19,59,7,0.308
Duke Stone,Mississippi State,SO,7,3,5.11,17,15,0,0,0,74,83,46,42,26,102,9,0.282
David Case,Memphis,GR,6,8,5.12,15,15,0,0,0,82.2,85,60,47,36,68,5,0.268
Lex Kenny,West Georgia,SR,4,6,5.12,15,11,0,0,0,77.1,85,49,44,24,59,7,0.276
Kenyon Collins,Marshall,SO,2,6,5.12,15,14,0,0,0,72,74,51,41,30,72,13,0.271
Gavin Theis,Milwaukee,GR,1,3,5.13,14,14,0,0,0,73.2,77,50,42,31,58,11,0.263
Wade Cooper,Texas State,FR,7,3,5.13,23,6,1,0,5,66.2,65,44,38,25,73,7,0.256
Jorhan LaBoy,Alabama State,JR,9,6,5.14,18,17,0,0,0,89.1,107,59,51,25,67,12,0.298
Harrison Thayer,UT Rio Grande Valley,SO,6,4,5.16,15,8,0,0,0,61,57,36,35,25,47,3,0.247
Harrison Dubois,Western Illinois,GR,2,3,5.17,25,2,0,0,0,54,63,36,31,20,46,8,0.296
Zac Sohosky,Miami (OH),SR,8,1,5.17,16,15,0,0,0,78.1,89,60,45,30,73,4,0.281
Hunter Elliott,Ole Miss,SR,5,3,5.21,15,15,0,0,0,76,73,47,44,38,100,14,0.253
Trey Newmann,Portland,JR,2,6,5.21,17,12,0,0,2,67.1,80,46,39,18,74,6,0.29
Cole Selvig,Minnesota,JR,5,4,5.21,14,14,0,0,0,67.1,70,42,39,23,58,6,0.275
Sawyer Pruitt,Louisiana,FR,7,5,5.21,25,10,0,0,1,74.1,76,45,43,33,83,7,0.264
Conner Griffin,Binghamton,JR,3,4,5.22,15,15,0,0,0,60.1,46,37,35,44,65,10,0.215
Huxley Holcombe,Cornell,JR,1,7,5.22,11,11,0,0,0,50,46,35,29,26,45,10,0.247
Mateo Gray,UCF,SO,5,2,5.22,17,9,0,0,1,58.2,69,38,34,17,48,12,0.299
Nolan Sliver,Kennesaw State,SR,0,2,5.23,16,13,0,0,0,62,77,37,36,26,50,8,0.306
Steele Murdock,UC San Diego,SO,4,3,5.23,15,15,1,0,0,74,70,53,43,45,104,13,0.238
Edwin Alicea,South Florida,JR,6,5,5.23,19,10,0,0,1,72.1,71,50,42,28,60,16,0.253
Carter Harrington,College of Charleston,FR,3,5,5.23,15,14,0,0,0,63.2,78,53,37,27,49,11,0.304
Tyler Conklin,Eastern Illinois,GR,9,3,5.24,16,15,1,0,0,91,90,61,53,47,46,3,0.258
Jaxon Lucas,Liberty,JR,3,2,5.24,20,15,0,0,0,67,72,40,39,27,48,4,0.278
DJ Merriweather,Austin Peay,JR,4,2,5.25,14,8,0,0,0,60,56,39,35,39,67,4,0.248
Brendan Garza,Ball State,SO,4,6,5.25,15,15,2,2,0,84,96,57,49,32,74,10,0.29
Max Hilsenroth,New Haven,FR,1,5,5.25,13,10,1,0,0,60,71,44,35,26,45,11,0.3
Connor Blue,Cincinnati,FR,4,2,5.25,17,11,0,0,0,61.2,63,42,36,23,45,8,0.267
Brian Strange,Elon,GR,3,3,5.26,14,14,0,0,0,75.1,78,59,44,31,74,7,0.265
Brayden Gilley,Winthrop,JR,7,6,5.27,15,15,0,0,0,80.1,92,52,47,24,64,11,0.288
Duke McCarron,Saint Joseph&#8217;s,JR,4,3,5.27,15,15,0,0,0,70,67,48,41,38,67,17,0.258
Thomas Santana,Columbia,SR,5,5,5.28,12,12,0,0,0,59.2,62,41,35,29,51,16,0.27
Chris Torres,USC Upstate,JR,5,4,5.28,18,16,0,0,0,76.2,86,60,45,32,71,7,0.284
Tanner Foertsch,Omaha,SO,3,5,5.29,14,13,0,0,0,64.2,78,42,38,24,55,4,0.298
Ethan Calder,Baylor,SR,5,5,5.31,15,14,0,0,0,76.1,93,53,45,18,63,5,0.302
Oliver Ellison,Gardner-Webb,JR,5,7,5.31,13,13,2,1,0,79.2,109,55,47,27,63,7,0.333
Cooper Corkrean,New Mexico,JR,6,2,5.31,21,2,0,0,4,59.1,61,39,35,24,59,6,0.271
Ryan Weller,Southern Indiana,JR,4,5,5.32,15,15,0,0,0,71,73,51,42,40,55,13,0.264
Easton Tumis,Kent State,SO,6,3,5.33,15,15,0,0,0,74.1,77,49,44,19,54,21,0.265
Sawyer Jensen,Dayton,SO,8,2,5.33,14,14,1,0,0,74.1,75,50,44,23,61,17,0.262
Owen MacDonnell,La Salle,GR,3,5,5.34,14,9,0,0,0,64,65,50,38,38,63,18,0.271
Andrew Heffernan,Bowling Green,JR,2,6,5.34,13,9,0,0,0,55.2,66,37,33,12,35,8,0.297
Danny Cihocki,Northern Illinois,JR,7,3,5.34,17,15,0,0,0,92.2,90,55,55,34,80,7,0.254
Ethan Lund,Oklahoma State,SO,5,3,5.34,17,16,1,0,0,84.1,66,52,50,53,137,2,0.212
Brett Lanman,Abilene Christian,JR,1,6,5.35,15,15,0,0,0,70.2,68,45,42,31,76,5,0.248
Cole Roberts,Georgia State,SR,2,3,5.37,14,14,1,0,0,68.2,62,44,41,23,59,10,0.24
Gage Wheaton,Niagara,JR,2,5,5.37,15,15,0,0,0,63.2,67,44,38,48,47,5,0.273
Drew Harlow,Marshall,GR,4,5,5.38,14,14,0,0,0,80.1,88,55,48,33,72,10,0.282
Gabriel Hernandez,Cal State Northridge,SO,4,4,5.38,15,14,0,0,0,73.2,89,48,44,15,46,7,0.301
Chase Hanawalt,Fordham,SO,3,6,5.38,14,14,1,0,0,80.1,75,50,48,23,81,5,0.248
Jacob Sitton,Tennessee-Martin,SR,5,6,5.4,15,14,2,0,0,81.2,84,57,49,44,68,6,0.263
Parker Hampton,Norfolk State,JR,4,3,5.4,14,13,1,1,0,70,87,47,42,26,46,2,0.306
Beau Elson,Fordham,SO,6,4,5.4,13,13,0,0,0,68.1,80,49,41,19,60,5,0.288
Brayton Thomas,Indiana,SO,1,5,5.4,14,14,0,0,0,55,45,33,33,36,55,21,0.22
Travis Farrell,Seattle,SR,2,8,5.42,13,12,1,0,0,73,93,49,44,20,65,5,0.315
Elijah Griffith,Akron,JR,3,4,5.42,14,14,0,0,0,74.2,77,56,45,24,50,13,0.265
Luke Parise,Saint Joseph&#8217;s,JR,6,2,5.43,15,14,0,0,1,64.2,72,43,39,21,58,15,0.277
Jesus Tovar,Texas State,JR,9,4,5.43,18,13,0,0,1,71.1,66,46,43,35,69,17,0.259
Carter Cox,Northern Illinois,SO,6,5,5.44,18,16,0,0,1,82.2,92,57,50,31,89,18,0.277
Weston Moss,Texas A&#038;M,JR,5,2,5.46,15,14,0,0,0,64.1,65,41,39,21,69,5,0.264
Austin Klug,Purdue,SR,5,3,5.46,18,12,0,0,0,56,60,39,34,27,36,4,0.268
Jonah Walker,North Dakota State,SR,3,5,5.47,12,12,0,0,0,52.2,55,36,32,30,40,6,0.266
Mason Blasche,Samford,SO,3,7,5.47,15,15,0,0,0,74,89,53,45,20,62,6,0.294
Brandon Bak,Illinois-Chicago,SR,5,4,5.48,16,16,1,1,0,88.2,104,57,54,27,71,3,0.293
Zack Konstantinovsky,Rutgers,SO,4,5,5.48,15,15,0,0,0,70.2,80,46,43,21,83,5,0.293
Nicholas Robb,Grand Canyon,JR,6,2,5.5,16,3,0,0,1,52.1,56,32,32,17,45,3,0.276
Logan Hastings,Maryland,SO,5,4,5.52,17,6,1,0,3,62,56,45,38,30,71,11,0.239
Jack Ohman,Yale,SO,5,3,5.53,13,12,0,0,1,66.2,67,43,41,30,90,8,0.255
Myles Dismute,Southern,JR,7,3,5.53,18,8,0,0,2,68.1,87,52,42,33,66,4,0.306
Kendall Lyons,Illinois-Chicago,SR,3,1,5.55,18,12,0,0,0,58.1,65,42,36,32,40,12,0.289
Chris Domke,Ohio State,SO,6,6,5.55,14,13,2,0,0,73,76,49,45,21,59,7,0.269
Titus Von Kapff,Charleston Southern,JR,7,4,5.55,14,14,2,1,0,82.2,90,55,51,40,56,12,0.281
James Guyette,Kansas State,JR,6,4,5.56,16,15,1,0,0,79.1,90,62,49,35,105,20,0.282
James Fordham,Western Carolina,JR,5,4,5.57,18,10,0,0,0,63,62,41,39,34,48,6,0.27
Ryan McLaughlin,Delaware,JR,2,5,5.58,17,8,0,0,2,59.2,71,46,37,22,42,13,0.297
Ryan Parker,Sacred Heart,GR,4,4,5.6,14,14,1,0,0,80.1,94,62,50,38,52,10,0.288
Jaxson Pease,Tennessee Tech,SR,5,7,5.6,16,10,0,0,1,72.1,101,49,45,17,49,2,0.334
Josh Willitts,New Jersey Tech,GR,1,8,5.61,14,13,0,0,0,69,80,50,43,34,55,8,0.296
Reece Wagner,Northern Colorado,JR,5,3,5.61,16,15,0,0,0,78.2,72,53,49,58,69,18,0.247
Matt Gallant,Charleston Southern,SO,6,0,5.62,13,13,0,0,0,57.2,75,42,36,14,40,4,0.315
John Carmichael,Eastern Michigan,JR,3,6,5.62,15,14,0,0,1,72,89,51,45,20,65,10,0.303
Cooper Golden,McNeese,SR,2,5,5.62,15,15,0,0,0,72,85,47,45,30,61,14,0.3
Nicholas Finarelli,Long Island,JR,9,3,5.62,15,15,1,0,0,89.2,92,58,56,40,93,14,0.265
Daniel Cohen,Yale,SR,5,3,5.64,14,12,2,1,0,59,66,42,37,22,31,2,0.286
Owen Winebarger,Elon,SO,4,4,5.64,14,11,0,0,0,67,76,47,42,17,40,3,0.296
Declan Wywoda,George Washington,SO,2,4,5.64,15,14,0,0,0,67,77,46,42,20,38,6,0.293
Tommy Egan,Troy,SR,5,5,5.65,18,16,1,0,1,79.2,86,58,50,30,91,15,0.275
Brent Stukes,USC Upstate,JR,8,3,5.65,16,16,0,0,0,78,86,52,49,39,56,12,0.279
Drew Lafferty,Pittsburgh,JR,5,4,5.66,16,15,0,0,0,70,91,49,44,23,44,14,0.319
Josh Torres,UC Riverside,JR,1,5,5.66,14,9,1,0,0,62,74,48,39,34,35,11,0.297
Ryland Morin,Arkansas-Pine Bluff,JR,4,4,5.66,17,16,1,1,0,68.1,69,49,43,22,50,23,0.266
Alexander Llinas,Lipscomb,SR,6,5,5.67,16,16,0,0,0,81,81,53,51,34,64,12,0.263
Garrett Workman,Florida A&#038;M,SO,6,5,5.68,14,14,0,0,0,63.2,73,48,40,24,54,12,0.282
Brady Pendley,Georgia Southern,SR,6,5,5.69,20,1,0,0,1,61.2,79,44,39,24,62,7,0.317
Brady Hoover,Longwood,FR,5,5,5.71,17,11,0,0,1,64.2,77,49,41,14,42,10,0.295
Andrew Abler,Harvard,JR,2,5,5.72,11,10,0,0,0,56.2,66,39,36,17,37,6,0.287
Brady Hamilton,Wichita State,JR,4,8,5.72,18,11,0,0,0,74,97,56,47,27,67,7,0.323
Luca Alagheband,Harvard,SO,1,4,5.72,12,10,0,0,1,45.2,39,35,29,19,43,16,0.225
Diego Cardenas,George Mason,GR,5,5,5.73,17,10,0,0,3,66,67,48,42,26,43,7,0.258
Bobby Spencer,Southern,SR,8,3,5.74,14,14,0,0,0,78.1,87,51,50,36,75,,
Zack Wallace,Baylor,SO,5,5,5.74,17,12,0,0,0,64.1,78,43,41,15,45,5,0.304
Jason Gerfers,Long Beach State,FR,4,8,5.75,15,14,2,0,0,76.2,74,58,49,42,74,19,0.257
Max Kaplan,USC Upstate,SO,5,5,5.78,20,12,1,0,2,71.2,76,50,46,20,64,14,0.28
Dawson Montesa,West Virginia,JR,5,5,5.78,18,14,0,0,1,71.2,64,49,46,40,85,8,0.236
Tristan Helmick,Lafayette,JR,3,6,5.78,11,11,0,0,0,62.1,73,45,40,19,62,15,0.291
Russ Smith,Dallas Baptist,SO,5,4,5.78,20,7,0,0,2,62.1,61,42,40,35,61,10,0.263
Kale Hammer,Seattle,SO,2,4,5.79,13,13,0,0,0,70,78,50,45,20,61,4,0.279
EJ Miramontes,Northern Kentucky,GR,4,5,5.79,14,14,1,0,0,60.2,58,46,39,25,49,5,0.249
John Delgado,Dayton,JR,2,5,5.79,16,12,1,1,1,60.2,56,44,39,34,72,6,0.246
Ethan Eberle,Louisville,SO,3,4,5.79,15,13,0,0,0,65.1,87,48,42,30,72,12,0.312
John Chambers,Ball State,SR,6,5,5.8,16,7,0,0,0,71.1,76,52,46,29,69,7,0.272
Jose Luccioni,Texas Southern,SO,3,0,5.81,13,10,0,0,1,47,63,31,30,28,35,9,0.33
Trey Power,Alabama State,SO,6,3,5.82,22,9,0,0,4,60.1,62,40,39,29,40,10,0.264
Jason Schaaf,Missouri State,SR,4,3,5.84,19,14,1,1,0,69.1,99,55,45,21,67,3,0.326
Aidan Coleman,Abilene Christian,JR,7,3,5.84,15,15,0,0,0,77,88,59,50,18,50,7,0.286
Jack Messmore,Youngstown State,SR,2,6,5.85,14,14,0,0,0,72.1,81,50,47,30,46,4,0.285
Dominic Voegele,Kansas,JR,6,3,5.85,16,16,1,0,0,92.1,94,61,60,34,117,6,0.257
Mario Pesca,Oklahoma State,SR,7,5,5.86,19,10,1,0,2,70.2,78,47,46,31,80,13,0.28
Cooper Katskee,Nebraska,JR,6,2,5.86,18,10,0,0,2,63,58,48,41,24,65,5,0.241
Tate Jones,New Jersey Tech,SO,3,2,5.86,16,8,0,0,1,50.2,67,42,33,11,33,9,0.315
Sam Schlecht,South Dakota State,SR,4,5,5.88,15,15,0,0,0,75,89,56,49,21,73,10,0.293
Chandler Alderman,Middle Tennessee,JR,2,5,5.89,15,15,0,0,0,65.2,81,57,43,25,43,10,0.306
Chase Carson,Charlotte,GR,2,4,5.9,28,1,0,0,1,61,76,47,40,23,51,5,0.298
Brayden Olson,St. Thomas,JR,1,7,5.91,15,14,0,0,0,74.2,89,60,49,39,71,14,0.291
Justin Roitman,Wagner,SR,7,1,5.92,14,12,0,0,0,54.1,64,34,36,48,61,6,0.283
Ryan Mealy,Monmouth,SO,5,5,5.92,14,14,0,0,0,76,100,54,50,24,59,3,0.326
Joe Sabbath,Rhode Island,JR,4,5,5.93,16,9,0,0,3,57.2,60,47,38,26,58,14,0.263
Sergio Lopez,UT Rio Grande Valley,GR,2,4,5.93,14,12,0,0,0,60.2,74,45,40,19,71,3,0.301
Casan Evans,LSU,SO,2,4,5.93,13,12,0,0,0,60.2,54,43,40,31,89,6,0.231
Hayden Lewis,Washington,SR,6,5,5.94,16,12,0,0,0,69.2,74,51,46,26,59,6,0.277
Derek Arrocha,Jackson State,JR,7,6,5.94,19,11,1,0,1,83.1,101,63,55,36,83,9,0.301
Nick Baffa,Valparaiso,SO,3,5,5.95,15,14,0,0,0,62,83,55,41,28,48,3,0.327
Cole Van Assen,Purdue,JR,6,5,5.96,15,15,0,0,0,80,104,62,53,17,65,9,0.309
Drake Frize,San Diego,GR,3,5,5.98,17,7,0,0,1,52.2,50,35,35,22,42,12,0.254
Brock Lucas,Missouri State,SR,6,6,5.98,19,9,0,0,2,64.2,68,49,43,37,56,4,0.271
Haden Luke,Nicholls,SR,6,3,5.98,12,12,0,0,0,52.2,53,36,35,32,69,5,0.262
Jesus Campa,Florida A&#038;M,GR,3,2,5.98,14,13,0,0,0,55.2,60,45,37,29,33,8,0.264
Liam Kinneen,Princeton,SO,2,4,5.98,11,11,0,0,0,58.2,56,45,39,32,42,17,0.26
Max Haug,George Washington,SR,2,6,5.99,14,14,0,0,0,73.2,87,56,49,36,65,17,0.3
Matthew Delvaux,Mercyhurst,JR,5,5,5.99,13,13,2,1,0,70.2,73,49,47,31,50,11,0.265
Wyatt Danilowicz,Louisville,SR,4,3,6,14,14,0,0,0,69,72,50,46,32,84,9,0.268
Owen Phypers,Navy,FR,5,4,6,11,10,0,0,0,54,59,38,36,18,52,6,0.282
Drew Talavs,San Diego State,JR,5,4,6.01,16,15,0,0,0,67.1,68,50,45,30,67,7,0.26
Tanner Boccabello,Bethune-Cookman,GR,6,0,6.01,15,15,0,0,0,67.1,88,53,45,23,53,9,0.324
Clayton Poliey,Rider,SR,3,2,6.03,17,14,1,0,0,59.2,66,46,40,31,39,4,0.287
Regan Hall,Illinois,JR,7,6,6.03,15,15,0,0,0,77.2,101,59,52,19,75,8,0.314
Jack Kelley,Villanova,GR,2,7,6.05,14,14,0,0,0,64,60,48,43,31,56,5,0.242
Cooper McMullen,Kennesaw State,SO,2,4,6.05,16,13,0,0,0,58,73,43,39,31,32,3,0.308
Thomas Harper,Illinois State,SR,4,5,6.1,19,10,0,0,0,59,64,43,40,27,51,17,0.283
Tripp Patterson,North Alabama,SO,7,4,6.1,15,15,0,0,0,82.2,103,63,56,25,49,7,0.307
Jackson Gowan,Queens (NC),JR,1,7,6.11,15,12,0,0,0,66.1,74,48,45,32,40,10,0.288
Niccolas Gregson,UC San Diego,GR,1,7,6.12,15,14,0,0,0,72,101,57,49,16,60,8,0.333
Jake Storey,Northern Colorado,SR,2,7,6.12,16,14,0,0,1,67.2,81,56,46,30,58,7,0.293
Owen Kramkowski,Arizona,JR,1,8,6.12,14,14,0,0,0,72,98,59,49,15,75,5,0.325
Payton Riske,Utah,JR,4,4,6.15,14,14,0,0,0,60,72,42,41,18,42,6,0.291
