Player,Team,Position,oRAR,oWAR,DRS,dWAR,pRAR,pWAR,WAR
Avery Thielman,Western Michigan,1B,14.54,1.07,4.52,0.33,0,0,1.4
Aaron Stelogeannis,Lipscomb,RF,14.55,1.07,3.56,0.26,0,0,1.33
Tony DeJesus,Incarnate Word,1B,14.56,1.07,2.88,0.21,0,0,1.28
Mikey Murphy,Campbell,CF,14.55,1.07,2.68,0.2,0,0,1.27
Michael Perazza,Florida Atlantic,LF,14.48,1.07,2.18,0.16,0,0,1.23
Jackson Bessette,Purdue,C,14.5,1.07,0.56,0.04,0,0,1.11
Macaddin Dye,Old Dominion,C,14.56,1.07,-0.36,-0.03,0,0,1.05
Troy Carpenter,Maine,3B,14.42,1.06,11.89,0.88,0,0,1.94
Shane Cox,Memphis,2B,14.43,1.06,9.54,0.7,0,0,1.77
Thomas Schreck,Army,SS,14.34,1.06,8.6,0.63,0,0,1.69
Nick Sutherlin,Indiana State,1B,14.35,1.06,8.04,0.59,0,0,1.65
Luke Mistone,Murray State,1B,14.42,1.06,4.85,0.36,0,0,1.42
Brady Dallimore,TCU,C,14.37,1.06,3.46,0.25,0,0,1.31
T.J. Oster,Air Force,2B,14.36,1.06,0.51,0.04,0,0,1.09
Ethan Porter,Oregon State,1B,14.45,1.06,0.2,0.01,0,0,1.08
Elijha Hammill,Niagara,CF,14.41,1.06,0.32,0.02,0,0,1.08
Jake McCarter,High Point,LF,14.42,1.06,0.04,0,0,0,1.06
Gavin Spiridonoff,Cal Poly,1B,14.33,1.06,0,0,0,0,1.06
Landon Springmeyer,Northern Kentucky,DH,14.36,1.06,-2.14,-0.16,0,0,0.9
Ryan Pruitt,USF,CF,14.31,1.05,8.37,0.62,0,0,1.67
Steven Kraus,Binghamton,1B,14.22,1.05,6.55,0.48,0,0,1.53
Carson Lorch,Tarleton State,3B,14.32,1.05,5.96,0.44,0,0,1.49
Trystan Crawford,Lehigh,1B,14.27,1.05,4.85,0.36,0,0,1.41
Jeter Polledo,Bethune-Cookman,2B,14.29,1.05,2.72,0.2,0,0,1.25
Matthew Rollison,Presbyterian,3B,14.29,1.05,1.85,0.14,0,0,1.19
Dylan Littlefield,Eastern Kentucky,DH,14.29,1.05,-1.86,-0.14,0,0,0.92
Cooper Kelly,Oral Roberts,1B,14.09,1.04,7.29,0.54,0,0,1.57
Zach Stephenson,Fairfield,LF,14.13,1.04,6.23,0.46,0,0,1.5
Jake Mummau,Appalachian State,2B,14.08,1.04,6.25,0.46,0,0,1.5
JJ Moran,Stanford,3B,14.16,1.04,5.53,0.41,0,0,1.45
Gavin Greger,Bryant,CF,14.15,1.04,4.34,0.32,0,0,1.36
Cole Huett,Bellarmine,CF,14.08,1.04,2.57,0.19,0,0,1.23
Connor Lawrence,Marist,DH,14.16,1.04,1.65,0.12,0,0,1.16
Miles Curley,New Orleans,DH,14.15,1.04,0.9,0.07,0,0,1.11
Michael Rickert,Stonehill,3B,14.08,1.04,0.16,0.01,0,0,1.05
Kyle Law,North Dakota State,DH,14.17,1.04,-3.54,-0.26,0,0,0.78
William Parker,Army,LF,14.08,1.04,-5.7,-0.42,0,0,0.62
Landon Russell,Stetson,SS,14,1.03,10.21,0.75,0,0,1.78
Ryan Taylor,Penn,2B,14.01,1.03,6.23,0.46,0,0,1.49
Logan Meusy,Brown,LF,13.99,1.03,5.08,0.37,0,0,1.4
Ayden Garcia,UNLV,C,13.98,1.03,3.54,0.26,0,0,1.29
Sean Sweeney,Binghamton,2B,13.98,1.03,3.07,0.23,0,0,1.26
Logan Terry,Nicholls,C,13.95,1.03,1.34,0.1,0,0,1.13
Ashtin Gilio,Georgetown,DH,14.03,1.03,0.54,0.04,0,0,1.07
Tyler Fox,UMass,CF,13.95,1.03,-1.46,-0.11,0,0,0.92
Jackson Halter,Marshall,RF,13.99,1.03,-4.99,-0.37,0,0,0.66
Nate Johnson,Tulane,2B,13.91,1.02,9.99,0.74,0,0,1.76
Jace Kohler,High Point,3B,13.9,1.02,8.66,0.64,0,0,1.66
Will Tippett,College of Charleston,SS,13.87,1.02,8.03,0.59,0,0,1.61
John Martinez,Florida Atlantic,2B,13.82,1.02,7.69,0.57,0,0,1.58
Scotty Young,Old Dominion,RF,13.83,1.02,4.9,0.36,0,0,1.38
Kyle Johnson,Virginia,DH,13.79,1.02,0.38,0.03,4.3,0.32,1.36
Tommy Eisenstat,Gonzaga,1B,13.89,1.02,3.84,0.28,0,0,1.31
Aidan Quinn,Lehigh,3B,13.88,1.02,3.38,0.25,0,0,1.27
Luke Stulga,Illinois State,CF,13.85,1.02,3.32,0.24,0,0,1.26
Braden Connors,Holy Cross,1B,13.83,1.02,3.12,0.23,0,0,1.25
Gianno Merlonghi,Central Connecticut,RF,13.81,1.02,3.21,0.24,0,0,1.25
Dylan Shepherd,Ohio,3B,13.83,1.02,2.28,0.17,0,0,1.19
Nick Quagliato,Fairleigh Dickinson,C,13.82,1.02,2.01,0.15,0,0,1.17
Juan Cantua,Stephen F. Austin,LF,13.85,1.02,0.24,0.02,0,0,1.04
Tervell Johnson,Alabama A&M,2B,13.84,1.02,0.02,0,0,0,1.02
JP Wagner,Toledo,LF,13.83,1.02,-0.05,0,0,0,1.01
Jake Maddox,Belmont,1B,13.82,1.02,-2.06,-0.15,0,0,0.87
Mason Barth,Notre Dame,2B,13.68,1.01,9.35,0.69,0,0,1.7
Carter Jenkins,Nicholls,3B,13.78,1.01,5.72,0.42,0,0,1.44
Drew Loikits,Central Michigan,SS,13.66,1.01,5.48,0.4,0,0,1.41
Walker Barron,East Carolina,C,13.77,1.01,5.33,0.39,0,0,1.41
Dayne Wray,UL Monroe,2B,13.65,1.01,4.98,0.37,0,0,1.37
Tyler Lichtenberger,Clemson,SS,13.76,1.01,4.48,0.33,0,0,1.34
Zach Fjelstad,UC Irvine,SS,13.76,1.01,4.2,0.31,0,0,1.32
Curtis McKay,Niagara,1B,13.65,1.01,3.71,0.27,0,0,1.28
Will Jesske,Nebraska,DH,13.67,1.01,0.16,0.01,0,0,1.02
Danny Leikus,Rhode Island,C,13.66,1.01,-0.08,-0.01,0,0,1
Tanner Berry,UNC Greensboro,C,13.73,1.01,-0.81,-0.06,0,0,0.95
David Bell,West Georgia,1B,13.76,1.01,-3.97,-0.29,0,0,0.72
Jerdy Lopez,Little Rock,SS,13.61,1,12.08,0.89,0,0,1.89
Matthew Cash,Jacksonville State,1B,13.63,1,8.35,0.61,0,0,1.62
Logan Pruski,Northern Colorado,SS,13.61,1,7.91,0.58,0,0,1.58
Mitchell Collins,North Florida,2B,13.54,1,6.49,0.48,0,0,1.47
Zach Yorke,LSU,1B,13.61,1,5.95,0.44,0,0,1.44
Kyle Eddington,UMBC,SS,13.62,1,5.57,0.41,0,0,1.41
Jagger Schattle,Central Arkansas,1B,13.57,1,5.21,0.38,0,0,1.38
Kyle Krupp,Morehead State,LF,13.55,1,4.46,0.33,0,0,1.33
Ryan Kennell,Gardner-Webb,2B,13.58,1,4.49,0.33,0,0,1.33
Will Edmunson,Oral Roberts,RF,13.64,1,3.16,0.23,0,0,1.24
Blake Fields,Houston,LF,13.64,1,1.61,0.12,0,0,1.12
Matt Hansen,BYU,1B,13.6,1,0.8,0.06,0,0,1.06
Zane Kelly,San Diego State,RF,13.56,1,-0.13,-0.01,0,0,0.99
Tyler Howard,UC Davis,RF,13.64,1,-0.73,-0.05,0,0,0.95
Colby Ott,Murray State,2B,13.5,0.99,8.18,0.6,0,0,1.6
Akili Carris,New Mexico,3B,13.46,0.99,5.77,0.42,0,0,1.42
Tomas Cernius,Princeton,1B,13.51,0.99,4.04,0.3,0,0,1.29
Hank Gomric,Saint Louis,LF,13.43,0.99,2.88,0.21,0,0,1.2
Tyler Wentworth,Oklahoma State,RF,13.49,0.99,1.4,0.1,1.1,0.08,1.18
AJ Oden,Iona,3B,13.43,0.99,1.32,0.1,0,0,1.09
Pedro Agosto,Coppin State,LF,13.41,0.99,0.52,0.04,0,0,1.03
Angel Garcia,Coppin State,1B,13.48,0.99,-0.54,-0.04,0,0,0.95
Steve Polizzi,Saint Peter's,C,13.42,0.99,-0.76,-0.06,0,0,0.93
Lewis Rodriguez,St. John's,LF,13.5,0.99,-1.6,-0.12,0,0,0.88
TJ Aiken,Old Dominion,CF,13.39,0.99,-2.13,-0.16,0,0,0.83
Nick English,Kansas State,LF,13.43,0.99,-2.62,-0.19,0,0,0.8
Thad Ector,Gardner-Webb,RF,13.48,0.99,-2.72,-0.2,0,0,0.79
Mark Nowak,Northern Kentucky,CF,13.47,0.99,-4.61,-0.34,0,0,0.65
Trevian Martinez,UC San Diego,C,13.35,0.98,16.16,1.19,0,0,2.17
Tommy Farmer IV,UC Irvine,CF,13.31,0.98,9.71,0.72,0,0,1.7
Hudson Shupe,Gonzaga,2B,13.26,0.98,8.47,0.62,0,0,1.6
Hudson Ellis,Oral Roberts,SS,13.32,0.98,8.27,0.61,0,0,1.59
Landon Moran,UCF,1B,13.35,0.98,7.78,0.57,0,0,1.56
Xander McAfee,UT Arlington,CF,13.35,0.98,7.59,0.56,0,0,1.54
Ignacio Gonzalez,Miami (OH),SS,13.36,0.98,6.21,0.46,0,0,1.44
Boston Vest,New Mexico State,SS,13.34,0.98,4.25,0.31,0,0,1.3
Jack Myers,Georgia Southern,2B,13.36,0.98,3.63,0.27,0,0,1.25
Cal Schembra,Valparaiso,1B,13.27,0.98,3.18,0.23,0,0,1.21
Jason Walk,Oklahoma,CF,13.36,0.98,2.33,0.17,0,0,1.16
Hasani Johnson,Grambling,SS,13.31,0.98,2.07,0.15,0,0,1.13
Matt Rose,USF,3B,13.28,0.98,0.22,0.02,0,0,0.99
Sebastian Mexico,Louisiana Tech,DH,13.29,0.98,-0.58,-0.04,0,0,0.94
Reece McCarthy,UMass,3B,13.32,0.98,-0.82,-0.06,0,0,0.92
Kameron Byrd,Southern,LF,13.3,0.98,-2.46,-0.18,0,0,0.8
James Marino,Quinnipiac,LF,13.37,0.98,-3.34,-0.25,0,0,0.74
Will Gallagher,Rider,3B,13.21,0.97,7.23,0.53,1.4,0.1,1.61
Scott Campbell Jr.,Kentucky,LF,13.17,0.97,7.18,0.53,0,0,1.5
Jake Downing,Cal Poly,2B,13.18,0.97,6.64,0.49,0,0,1.46
Casey McCoy,Louisiana Tech,2B,13.19,0.97,5.38,0.4,0,0,1.37
Landon Stripling,Florida,1B,13.24,0.97,4.77,0.35,0,0,1.33
Kelton Phillips,Akron,CF,13.19,0.97,4.65,0.34,0,0,1.31
Joe Roder,St. Thomas (MN),1B,13.24,0.97,4.14,0.3,0,0,1.28
Daniel Perez,La Salle,2B,13.15,0.97,4.05,0.3,0,0,1.27
Jimmy Chadwell,Columbia,SS,13.2,0.97,2.7,0.2,0,0,1.17
Jake Amman,College of Charleston,LF,13.18,0.97,1.77,0.13,0,0,1.1
Colton Griffin,TCU,LF,13.19,0.97,1.43,0.11,0,0,1.08
Dylan Dubovik,Miami,LF,13.19,0.97,1.35,0.1,0,0,1.07
Tyler Zedalis,Old Dominion,3B,13.2,0.97,0.42,0.03,0,0,1
Foster Apple,Stetson,LF,13.21,0.97,-0.1,-0.01,0,0,0.97
Bennett Edwards,Georgia Southern,C,13.22,0.97,-0.49,-0.04,0,0,0.94
Witt Scafidi,William & Mary,C,13.22,0.97,-0.97,-0.07,0,0,0.9
Carter Hendrickson,Boston College,CF,13.11,0.97,-2.43,-0.18,0,0,0.79
Jamison Howland,Stonehill,LF,13.21,0.97,-2.95,-0.22,0,0,0.76
Jake Radosevich,Lindenwood,DH,13.21,0.97,-3.33,-0.25,0,0,0.73
Jorge Valdes,Xavier,LF,13.07,0.96,7.58,0.56,0,0,1.52
Tommy Popoff,Binghamton,C,12.97,0.96,5.75,0.42,0,0,1.38
Derek Houston,Utah Valley,C,13.06,0.96,4.69,0.35,0,0,1.31
Patrick Evans,South Carolina,2B,13.1,0.96,4.5,0.33,0,0,1.3
Jaime Perez,Grand Canyon,C,13.01,0.96,2.71,0.2,0,0,1.16
Davis Hanson,Yale,1B,13.02,0.96,2.62,0.19,0,0,1.15
Charlie Schebler,Butler,2B,12.97,0.96,2.64,0.19,0,0,1.15
Brant Kragel,Missouri State,1B,12.99,0.96,2.25,0.17,0,0,1.12
Lorenzo Camilleri,NJIT,DH,13,0.96,0.73,0.05,0,0,1.01
Tyler Stack,Ohio,C,12.99,0.96,-5.28,-0.39,0,0,0.57
Jeremy Martinez,Indiana State,C,13.09,0.96,-7.86,-0.58,0,0,0.39
Blaze Rodriguez,Louisiana,SS,12.85,0.95,14.34,1.06,0,0,2
Colby Wallace,East Carolina,3B,12.89,0.95,8.59,0.63,5.1,0.38,1.96
Collin Anderson,Duke,2B,12.86,0.95,10.51,0.77,0,0,1.72
Jack Runsick,Central Arkansas,3B,12.9,0.95,7.94,0.58,0,0,1.53
Sean Kang,SIUE,C,12.9,0.95,6.82,0.5,0,0,1.45
Jackson Westmoreland,North Alabama,SS,12.96,0.95,5.33,0.39,0,0,1.35
Owen Paino,Ole Miss,SS,12.84,0.95,5.24,0.39,0,0,1.33
Kellen Strohmeyer,Iowa,RF,12.88,0.95,2.83,0.21,0,0,1.16
Caleb Cotton,Sam Houston State,LF,12.91,0.95,2.29,0.17,0,0,1.12
Max Price,UAB,C,12.87,0.95,2.07,0.15,0,0,1.1
Tommy Meluskey,New Mexico State,RF,12.89,0.95,1.68,0.12,0,0,1.07
Mikey Boyd,Fresno State,3B,12.96,0.95,1.25,0.09,0,0,1.05
Matthias Haas,Tulane,DH,12.91,0.95,1.2,0.09,0,0,1.04
Owen Walewander,Lehigh,C,12.76,0.94,12.48,0.92,0,0,1.86
Noah Ruiz,Northwestern,2B,12.81,0.94,7.49,0.55,0,0,1.49
Vance Sheahan,Miami,SS,12.81,0.94,6.03,0.44,0,0,1.39
Luke Scales,Bellarmine,3B,12.8,0.94,4.03,0.3,0,0,1.24
Jack Harley,Stetson,3B,12.83,0.94,3.86,0.28,0,0,1.23
Brady Davidson,Ball State,2B,12.83,0.94,2.49,0.18,0,0,1.13
Cris Enriquez,Incarnate Word,DH,12.78,0.94,0.03,0,0,0,0.94
Joey Gale,Saint Joseph's,DH,12.73,0.94,-0.86,-0.06,0,0,0.87
Terrick Thompson-Allen,SIUE,RF,12.71,0.94,-1.05,-0.08,0,0,0.86
Dustin Robinson,Washington State,LF,12.82,0.94,-1.37,-0.1,0,0,0.84
Micajah Wall,Southern Indiana,C,12.74,0.94,-1.89,-0.14,0,0,0.8
Eddison Esquivel,San Francisco,RF,12.79,0.94,-4.67,-0.34,0,0,0.6
Caden Kresak,Florida A&M,RF,12.64,0.93,4.35,0.32,4.3,0.32,1.57
Maddix Dalena,Connecticut,3B,12.6,0.93,8.31,0.61,0,0,1.54
Kevin Milewski,Mississippi State,C,12.67,0.93,4.2,0.31,0,0,1.24
Nick Griffith,Morehead State,2B,12.64,0.93,3.25,0.24,0,0,1.17
Jimmy Nati,Stanford,2B,12.64,0.93,3.11,0.23,0,0,1.16
Zachari Pace,Texas Southern,CF,12.57,0.93,2.41,0.18,0,0,1.1
Jackson Sirois,Maryland,3B,12.58,0.93,1.96,0.14,0,0,1.07
Eric Hines,Alabama,LF,12.69,0.93,0.52,0.04,0,0,0.97
Derek Bermudez,Jacksonville,DH,12.61,0.93,0.6,0.04,0,0,0.97
Kye Watson,Southern Illinois,RF,12.57,0.93,0.47,0.03,0,0,0.96
Edwin Lemus Hudson Jr.,Jackson State,DH,12.66,0.93,0,0,0,0,0.93
Kaleb Duncan,Wichita State,CF,12.62,0.93,-2.14,-0.16,0,0,0.77
Austin Lemon,Villanova,LF,12.66,0.93,-4.12,-0.3,0,0,0.63
Kevin Duran,Lamar,2B,12.45,0.92,10.34,0.76,0,0,1.68
Noah Murray,Virginia,3B,12.46,0.92,7.56,0.56,0,0,1.47
JT Taylor,North Carolina A&T,SS,12.43,0.92,6.93,0.51,0,0,1.43
Luke Williams,Jacksonville State,LF,12.48,0.92,6.95,0.51,0,0,1.43
Logan Lowe,UNC Asheville,SS,12.51,0.92,5.27,0.39,0,0,1.31
Pearson Riebock,Baylor,2B,12.47,0.92,4.62,0.34,0,0,1.26
Walter Urbon,USC,RF,12.52,0.92,4.38,0.32,0,0,1.24
John Pearson,LSU,3B,12.47,0.92,3.42,0.25,0,0,1.17
Prince Deboskie,Akron,LF,12.56,0.92,2.75,0.2,0,0,1.13
Nick Costello,UC San Diego,RF,12.53,0.92,2.74,0.2,0,0,1.12
Hunter Herndon,Wofford,1B,12.53,0.92,2.63,0.19,0,0,1.12
Chris Hoalcraft,St. Bonaventure,SS,12.47,0.92,1.2,0.09,0,0,1.01
Tyler Macon,Missouri,1B,12.46,0.92,1.07,0.08,0,0,1
Easton Fritcher,St. Thomas (MN),CF,12.54,0.92,0.28,0.02,0,0,0.94
Josh Janove,Towson,1B,12.43,0.92,-1.52,-0.11,0,0,0.8
Chandler Tuupo,Charleston Southern,1B,12.43,0.92,-2.23,-0.16,0,0,0.75
Joshua Woodworth,Pepperdine,DH,12.51,0.92,0.42,0.03,-3.3,-0.24,0.71
Corey Nunez,UC Santa Barbara,SS,12.31,0.91,7.53,0.55,0,0,1.46
Grady Mee,Kent State,2B,12.36,0.91,6.53,0.48,0,0,1.39
Trent Liolios,Tulane,1B,12.4,0.91,5.53,0.41,0,0,1.32
Quinn Murphy,Maine,LF,12.37,0.91,4.46,0.33,0,0,1.24
Michael Maggio,Albany,LF,12.31,0.91,4.37,0.32,0,0,1.23
Cooper Eggert,SIUE,RF,12.29,0.91,3.87,0.28,0,0,1.19
Ethan Felix,UC Davis,1B,12.31,0.91,2.4,0.18,0,0,1.08
Tyler ViVacqua,Niagara,2B,12.29,0.91,2.02,0.15,0,0,1.05
Jackson Williams,Alabama State,1B,12.41,0.91,0.43,0.03,0,0,0.95
Gavin Gilmore,Butler,RF,12.31,0.91,0.23,0.02,0,0,0.92
Renzo Gonzalez,Stetson,1B,12.4,0.91,-0.32,-0.02,0,0,0.89
Wesley Bass,Georgia State,RF,12.35,0.91,-1.01,-0.07,0,0,0.84
Carl Schmidt,California,LF,12.42,0.91,-3.09,-0.23,0,0,0.69
Tyvon Moore,Prairie View,2B,12.34,0.91,-3.44,-0.25,0,0,0.66
Keaten Hawk,Alcorn State,RF,12.38,0.91,-4.95,-0.36,0,0,0.55
Jayden Hertel,UNLV,DH,12.31,0.91,-6,-0.44,0,0,0.46
Brayden Leonard,Villanova,2B,12.17,0.9,8.1,0.6,0,0,1.49
Justin Vossos,Texas State,2B,12.28,0.9,6.89,0.51,0,0,1.41
Ryan Grundy,Holy Cross,1B,12.24,0.9,6.55,0.48,0,0,1.38
Kam Edwards,Lindenwood,CF,12.25,0.9,6.19,0.46,0,0,1.36
Brooks Perez,Duke,1B,12.16,0.9,5.76,0.42,0,0,1.32
Alex Sandell,Holy Cross,2B,12.2,0.9,5.52,0.41,0,0,1.3
Jack Rickheim,Harvard,SS,12.19,0.9,4.09,0.3,0,0,1.2
Drew Kleinheider,Saint Louis,2B,12.18,0.9,3.81,0.28,0,0,1.18
Jordan Treadwell,Coppin State,2B,12.25,0.9,1.96,0.14,0,0,1.05
Kanoa Morisaki,CSU Bakersfield,C,12.18,0.9,1.35,0.1,0,0,1
Miguel Morales,Texas Southern,C,12.26,0.9,0.92,0.07,0,0,0.97
Terrell Milliner,Coppin State,RF,12.28,0.9,0.4,0.03,0,0,0.93
Tarris Murray,Alabama A&M,RF,12.17,0.9,-1.93,-0.14,0,0,0.75
Sean Benjamin,North Florida,LF,12.21,0.9,-3.25,-0.24,0,0,0.66
Scott Gell,Stony Brook,C,12.03,0.89,8.41,0.62,0,0,1.51
Jordan Kang,Harvard,3B,12.09,0.89,8.25,0.61,0,0,1.5
Sammy Mummau,Jacksonville,SS,12.05,0.89,6.74,0.5,0,0,1.38
Trey Dunn,Pepperdine,RF,12.05,0.89,6.1,0.45,0,0,1.34
Isaiah Monge,Western Illinois,3B,12.08,0.89,5.18,0.38,0,0,1.27
Nate Novitske,Arizona,2B,12.13,0.89,4.98,0.37,0,0,1.26
Zach Knowlton,Central Michigan,CF,12.15,0.89,4.68,0.34,0,0,1.24
Tate Shimao,Hawaii,3B,12.08,0.89,4.77,0.35,0,0,1.24
Ryan Recio,Richmond,1B,12.02,0.89,2.69,0.2,0,0,1.08
Julio Vasquez,Grambling,DH,12.06,0.89,2.51,0.18,0,0,1.07
Cale Stricklin,Charlotte,C,12.15,0.89,1.91,0.14,0,0,1.04
Kyle Pollack,Marist,1B,12.02,0.89,1.59,0.12,0,0,1
Madden Ocko,Fordham,3B,12.08,0.89,0.8,0.06,0,0,0.95
Cooper Sheff,UNLV,SS,12.07,0.89,0.58,0.04,0,0,0.93
Ryan Frontera,Seton Hall,3B,12.12,0.89,0.35,0.03,0,0,0.92
Garrett Michel,Arizona State,DH,12.06,0.89,0.04,0,0,0,0.89
JJ Kennett,Baylor,C,12.03,0.89,-0.39,-0.03,0,0,0.86
Noah Karliner,UC Santa Barbara,RF,12.1,0.89,-0.49,-0.04,0,0,0.85
Robert Wegrzyn,Le Moyne,C,12.14,0.89,-3.34,-0.25,0,0,0.65
Noah Miller,Michigan,C,11.98,0.88,12.17,0.9,0,0,1.78
Keegan Giger,Nicholls,2B,11.97,0.88,8.37,0.62,0,0,1.5
Kobe Benson,Eastern Kentucky,2B,11.95,0.88,7.63,0.56,0,0,1.44
Spencer Barnett,Penn State,3B,11.94,0.88,5.88,0.43,0,0,1.31
Connor Price,Georgetown,C,12,0.88,5.64,0.42,0,0,1.3
Sky Collins,Fresno State,CF,12.01,0.88,5.52,0.41,0,0,1.29
CJ Deckinga,Michigan State,3B,11.9,0.88,4.88,0.36,0,0,1.24
Marcus Nolen,Fresno State,RF,11.96,0.88,4.59,0.34,0,0,1.22
Bryce Clavon,Clemson,CF,11.92,0.88,4.02,0.3,0,0,1.17
Christian Mitchelle,Cincinnati,3B,11.99,0.88,3.44,0.25,0,0,1.14
Max Burt,Iowa,C,11.95,0.88,3.43,0.25,0,0,1.13
JT Shank,Pacific,CF,11.9,0.88,3.16,0.23,0,0,1.11
Josh Arquette,UTSA,3B,11.99,0.88,2.36,0.17,0,0,1.06
Danny O'Brien,UNC Wilmington,1B,11.96,0.88,-0.04,0,0,0,0.88
Tre Mariano,Albany,RF,11.98,0.88,-0.72,-0.05,0,0,0.83
Nicholas Solorzano,UMass Lowell,C,11.97,0.88,-1.37,-0.1,0,0,0.78
Mason Reising,Charleston Southern,DH,11.97,0.88,-1.98,-0.15,0,0,0.74
Devin Russell,Maryland,C,11.9,0.88,-1.8,-0.13,0,0,0.74
Cooper Tarantino,Northeastern,C,11.94,0.88,-1.96,-0.14,0,0,0.73
Chris Diaz,Marist,RF,11.91,0.88,1.5,0.11,-3.6,-0.27,0.72
Conner Spelman,Jacksonville,C,11.84,0.87,5.4,0.4,0,0,1.27
KJ Scobey,South Carolina,SS,11.86,0.87,3.94,0.29,0,0,1.16
Andrew Becker,Cal State Northridge,LF,11.77,0.87,3.75,0.28,0,0,1.14
Alex Barrist,Lafayette,2B,11.75,0.87,3.19,0.23,0,0,1.1
Jackson Morse,George Mason,3B,11.82,0.87,3.02,0.22,0,0,1.09
Ian Blazier,Saint Louis,CF,11.85,0.87,2.45,0.18,0,0,1.05
Jeremy Comer,FGCU,RF,11.84,0.87,2.29,0.17,0,0,1.04
Antonio Cordeiro,St. Bonaventure,C,11.88,0.87,1.67,0.12,0,0,1
Ben Zeigler-Namoa,Hawaii,1B,11.85,0.87,1.5,0.11,0,0,0.98
Cardel Dick,Omaha,C,11.86,0.87,1.12,0.08,0,0,0.96
Mateo Rickman,Cal State Northridge,DH,11.76,0.87,0.94,0.07,0,0,0.94
Dominic Hellman,Oregon,DH,11.78,0.87,0.34,0.03,0,0,0.89
Nick Fox,Central Connecticut,DH,11.77,0.87,0.3,0.02,0,0,0.89
Oliver Barkal,Merrimack,P,11.81,0.87,0.17,0.01,-0.5,-0.04,0.85
Landon Mensik,Xavier,LF,11.88,0.87,-1.08,-0.08,0,0,0.8
JW Fitzgerald,Sacred Heart,LF,11.82,0.87,-1.63,-0.12,0,0,0.75
Jacob Gutierrez,Wichita State,RF,11.86,0.87,-2.28,-0.17,0,0,0.71
Luke Skinner,Bradley,3B,11.88,0.87,-2.27,-0.17,0,0,0.71
Josh Outlaw,Illinois State,DH,11.82,0.87,-2.99,-0.22,0,0,0.65
Shane Andrus,Maine,C,11.78,0.87,-3.27,-0.24,0,0,0.63
Hayden Robbins,Western Kentucky,RF,11.87,0.87,-3.87,-0.28,0,0,0.59
Dean Carpentier,USC,1B,11.67,0.86,8.56,0.63,0,0,1.49
DeAmez Ross,UCF,CF,11.71,0.86,8.16,0.6,0,0,1.46
Cal Fisher,Florida State,3B,11.65,0.86,6.5,0.48,0,0,1.34
Ryan Lordier,Manhattan,SS,11.7,0.86,6.29,0.46,0,0,1.32
Lazaro Alvarado,Arkansas-Pine Bluff,1B,11.62,0.86,5.39,0.4,0,0,1.25
Cecil Lofton,Southern Illinois,1B,11.72,0.86,5.06,0.37,0,0,1.24
Camden Karczewski,Illinois State,SS,11.74,0.86,4.52,0.33,0,0,1.2
Larry Hotaling,Villanova,3B,11.68,0.86,4.08,0.3,0,0,1.16
Brennan Morgan,Akron,3B,11.7,0.86,2.29,0.17,0,0,1.03
Cooper Hinson,Marshall,LF,11.63,0.86,0.81,0.06,0,0,0.92
Hank Warren,UTRGV,RF,11.65,0.86,-0.7,-0.05,0,0,0.81
Jordan Lodise,UCF,SS,11.49,0.85,10.3,0.76,0,0,1.6
Jack Mosh,Minnesota,2B,11.52,0.85,9.32,0.69,0,0,1.53
Zachary Daigre,Rice,LF,11.6,0.85,7.19,0.53,0,0,1.38
Logan Koslin,Mercyhurst,3B,11.48,0.85,7.12,0.52,0,0,1.37
Tim Hennig,Binghamton,3B,11.48,0.85,5.02,0.37,0,0,1.22
Robert Tate Jr.,Jackson State,3B,11.55,0.85,5.06,0.37,0,0,1.22
Antonio Ducatelli,Central Connecticut,LF,11.61,0.85,4.63,0.34,0,0,1.2
Ethan Plyler,College of Charleston,2B,11.54,0.85,4.77,0.35,0,0,1.2
Alex Alicea,Louisville,SS,11.57,0.85,4.76,0.35,0,0,1.2
Kevin Hager,Cornell,SS,11.52,0.85,3.98,0.29,0,0,1.14
Seth Buchanan,VMI,SS,11.57,0.85,3.38,0.25,0,0,1.1
Colin Basehore,Manhattan,LF,11.61,0.85,3.31,0.24,0,0,1.1
Daniel Arambula,Utah,3B,11.49,0.85,3.29,0.24,0,0,1.09
Tyler Cripe,Navy,2B,11.48,0.85,3.23,0.24,0,0,1.08
Anthony Temesvary,Columbia,3B,11.61,0.85,2.08,0.15,0,0,1.01
Nolan Belcher,Kent State,DH,11.52,0.85,1.81,0.13,0,0,0.98
Cole Griffith,Georgia State,C,11.48,0.85,1.05,0.08,0,0,0.92
Quincy Malbrough,Purdue,LF,11.5,0.85,1.06,0.08,0,0,0.92
Alejandro Sanchez,Gardner-Webb,DH,11.56,0.85,0,0,0,0,0.85
Mark Collins,Louisiana,LF,11.6,0.85,-0.38,-0.03,0,0,0.83
Royce Hale,Seattle,DH,11.56,0.85,-0.92,-0.07,0,0,0.78
Owen ten Oever,Indiana,DH,11.49,0.85,-1.19,-0.09,0,0,0.76
Chris Daniels,New Mexico State,3B,11.52,0.85,-1.34,-0.1,0,0,0.75
Brady Holbrook,Belmont,LF,11.54,0.85,-1.6,-0.12,0,0,0.73
Jordan Taylor,Coastal Carolina,LF,11.51,0.85,-1.92,-0.14,0,0,0.71
RJ Holmes,Virginia,SS,11.58,0.85,-2.64,-0.19,0,0,0.66
Matt Thorsen,Siena,SS,11.5,0.85,-3.58,-0.26,0,0,0.58
